x,y,Tensão/volts,,,0,2,4,6,8,10,12,14,16,18,20
0,0,4.023,,0,4.023,3.497,3.119,2.761,2.372,1.988,1.620,1.213,0.918,0.540,0.000
2,0,4.023,,2,4.023,3.565,3.186,2.805,2.411,1.996,1.602,1.196,0.828,0.448,0.000
4,0,4.023,,4,4.023,3.605,3.245,2.848,2.452,2.018,1.610,1.188,0.790,0.396,0.000
6,0,4.023,,6,4.023,3.624,3.287,2.909,2.503,2.051,1.626,1.187,0.796,0.407,0.000
8,0,4.023,,8,4.023,3.702,3.389,2.994,2.550,2.089,1.626,1.186,0.787,0.406,0.000
10,0,4.023,,10,4.023,3.811,3.538,3.119,2.619,2.140,1.645,1.186,0.792,0.397,0.000
12,0,4.023,,12,4.023,4.023,3.879,3.285,2.666,2.143,1.651,1.215,0.788,0.415,0.000
14,0,4.023,,14,4.023,3.863,3.636,3.171,2.611,2.119,1.644,1.208,0.798,0.392,0.000
16,0,4.023,,16,4.023,3.711,3.407,2.984,2.526,2.083,1.624,1.185,0.775,0.386,0.000
18,0,4.023,,18,4.023,3.635,3.279,2.879,2.468,2.040,1.594,1.179,0.781,0.378,0.000
20,0,4.023,,20,4.023,3.578,3.192,2.817,2.402,2.001,1.576,1.167,0.763,0.385,0.000
22,0,4.023,,22,4.023,3.527,3.141,2.750,2.356,1.954,1.557,1.179,0.774,0.381,0.000
24,0,4.023,,24,4.023,3.433,3.075,2.693,2.300,1.925,1.537,1.168,0.783,0.391,0.000
,,,,,,,,,,,,,,,
0,2,3.497,,,,,,,,,,,,,
2,2,3.565,,,,,,,,,,,,,
4,2,3.605,,,,,,,,,,,,,
6,2,3.624,,,,,,,,,,,,,
8,2,3.702,,,,,,,,,,,,,
10,2,3.811,,,,,,,,,,,,,
12,2,4.023,,,,,,,,,,,,,
14,2,3.863,,,,,,,,,,,,,
16,2,3.711,,,,,,,,,,,,,
18,2,3.635,,,,,,,,,,,,,
20,2,3.578,,,,,,,,,,,,,
22,2,3.527,,,,,,,,,,,,,
24,2,3.433,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,4,3.119,,,,,,,,,,,,,
2,4,3.186,,,,,,,,,,,,,
4,4,3.245,,,,,,,,,,,,,
6,4,3.287,,,,,,,,,,,,,
8,4,3.389,,,,,,,,,,,,,
10,4,3.538,,,,,,,,,,,,,
12,4,3.879,,,,,,,,,,,,,
14,4,3.636,,,,,,,,,,,,,
16,4,3.407,,,,,,,,,,,,,
18,4,3.279,,,,,,,,,,,,,
20,4,3.192,,,,,,,,,,,,,
22,4,3.141,,,,,,,,,,,,,
24,4,3.075,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,6,2.761,,,,,,,,,,,,,
2,6,2.805,,,,,,,,,,,,,
4,6,2.848,,,,,,,,,,,,,
6,6,2.909,,,,,,,,,,,,,
8,6,2.994,,,,,,,,,,,,,
10,6,3.119,,,,,,,,,,,,,
12,6,3.285,,,,,,,,,,,,,
14,6,3.171,,,,,,,,,,,,,
16,6,2.984,,,,,,,,,,,,,
18,6,2.879,,,,,,,,,,,,,
20,6,2.817,,,,,,,,,,,,,
22,6,2.750,,,,,,,,,,,,,
24,6,2.693,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,8,2.372,,,,,,,,,,,,,
2,8,2.411,,,,,,,,,,,,,
4,8,2.452,,,,,,,,,,,,,
6,8,2.503,,,,,,,,,,,,,
8,8,2.550,,,,,,,,,,,,,
10,8,2.619,,,,,,,,,,,,,
12,8,2.666,,,,,,,,,,,,,
14,8,2.611,,,,,,,,,,,,,
16,8,2.526,,,,,,,,,,,,,
18,8,2.468,,,,,,,,,,,,,
20,8,2.402,,,,,,,,,,,,,
22,8,2.356,,,,,,,,,,,,,
24,8,2.300,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,10,1.988,,,,,,,,,,,,,
2,10,1.996,,,,,,,,,,,,,
4,10,2.018,,,,,,,,,,,,,
6,10,2.051,,,,,,,,,,,,,
8,10,2.089,,,,,,,,,,,,,
10,10,2.140,,,,,,,,,,,,,
12,10,2.143,,,,,,,,,,,,,
14,10,2.119,,,,,,,,,,,,,
16,10,2.083,,,,,,,,,,,,,
18,10,2.040,,,,,,,,,,,,,
20,10,2.001,,,,,,,,,,,,,
22,10,1.954,,,,,,,,,,,,,
24,10,1.925,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,12,1.620,,,,,,,,,,,,,
2,12,1.602,,,,,,,,,,,,,
4,12,1.610,,,,,,,,,,,,,
6,12,1.626,,,,,,,,,,,,,
8,12,1.626,,,,,,,,,,,,,
10,12,1.645,,,,,,,,,,,,,
12,12,1.651,,,,,,,,,,,,,
14,12,1.644,,,,,,,,,,,,,
16,12,1.624,,,,,,,,,,,,,
18,12,1.594,,,,,,,,,,,,,
20,12,1.576,,,,,,,,,,,,,
22,12,1.557,,,,,,,,,,,,,
24,12,1.537,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,14,1.213,,,,,,,,,,,,,
2,14,1.196,,,,,,,,,,,,,
4,14,1.188,,,,,,,,,,,,,
6,14,1.187,,,,,,,,,,,,,
8,14,1.186,,,,,,,,,,,,,
10,14,1.186,,,,,,,,,,,,,
12,14,1.215,,,,,,,,,,,,,
14,14,1.208,,,,,,,,,,,,,
16,14,1.185,,,,,,,,,,,,,
18,14,1.179,,,,,,,,,,,,,
20,14,1.167,,,,,,,,,,,,,
22,14,1.179,,,,,,,,,,,,,
24,14,1.168,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,16,0.918,,,,,,,,,,,,,
2,16,0.828,,,,,,,,,,,,,
4,16,0.790,,,,,,,,,,,,,
6,16,0.796,,,,,,,,,,,,,
8,16,0.787,,,,,,,,,,,,,
10,16,0.792,,,,,,,,,,,,,
12,16,0.788,,,,,,,,,,,,,
14,16,0.798,,,,,,,,,,,,,
16,16,0.775,,,,,,,,,,,,,
18,16,0.781,,,,,,,,,,,,,
20,16,0.763,,,,,,,,,,,,,
22,16,0.774,,,,,,,,,,,,,
24,16,0.783,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,18,0.540,,,,,,,,,,,,,
2,18,0.448,,,,,,,,,,,,,
4,18,0.396,,,,,,,,,,,,,
6,18,0.407,,,,,,,,,,,,,
8,18,0.406,,,,,,,,,,,,,
10,18,0.397,,,,,,,,,,,,,
12,18,0.415,,,,,,,,,,,,,
14,18,0.392,,,,,,,,,,,,,
16,18,0.386,,,,,,,,,,,,,
18,18,0.378,,,,,,,,,,,,,
20,18,0.385,,,,,,,,,,,,,
22,18,0.381,,,,,,,,,,,,,
24,18,0.391,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
0,20,0.000,,,,,,,,,,,,,
2,20,0.000,,,,,,,,,,,,,
4,20,0.000,,,,,,,,,,,,,
6,20,0.000,,,,,,,,,,,,,
8,20,0.000,,,,,,,,,,,,,
10,20,0.000,,,,,,,,,,,,,
12,20,0.000,,,,,,,,,,,,,
14,20,0.000,,,,,,,,,,,,,
16,20,0.000,,,,,,,,,,,,,
18,20,0.000,,,,,,,,,,,,,
20,20,0.000,,,,,,,,,,,,,
22,20,0.000,,,,,,,,,,,,,
24,20,0.000,,,,,,,,,,,,,
