k,y,Tensão (V),Experimento
12.5,0,4051,Placas paralelas
12.5,0.5,3866,Placas paralelas
12.5,1,3763,Placas paralelas
12.5,1.5,3645,Placas paralelas
12.5,2,3538,Placas paralelas
12.5,2.5,3437,Placas paralelas
12.5,3,3327,Placas paralelas
12.5,3.5,3221,Placas paralelas
12.5,4,3116,Placas paralelas
12.5,4.5,3011,Placas paralelas
12.5,5,2887,Placas paralelas
12.5,5.5,2791,Placas paralelas
12.5,6,2668,Placas paralelas
12.5,6.5,2573,Placas paralelas
12.5,7,2473,Placas paralelas
12.5,7.5,2374,Placas paralelas
12.5,8,2271,Placas paralelas
12.5,8.5,2155,Placas paralelas
12.5,9,2052,Placas paralelas
12.5,9.5,1969,Placas paralelas
12.5,10,1858,Placas paralelas
12.5,10.5,1761,Placas paralelas
12.5,11,1679,Placas paralelas
12.5,11.5,1569,Placas paralelas
12.5,12,1467,Placas paralelas
12.5,12.5,1368,Placas paralelas
12.5,13,1250,Placas paralelas
12.5,13.5,1178,Placas paralelas
12.5,14,1091,Placas paralelas
12.5,14.5,987,Placas paralelas
12.5,15,868,Placas paralelas
12.5,15.5,809,Placas paralelas
12.5,16,718,Placas paralelas
12.5,16.5,638,Placas paralelas
12.5,17,541,Placas paralelas
12.5,17.5,456,Placas paralelas
12.5,18,380,Placas paralelas
12.5,18.5,288,Placas paralelas
12.5,19,191,Placas paralelas
12.5,19.5,118,Placas paralelas
12.5,5.5,3560,Ponta
12.5,6,3338,Ponta
12.5,6.5,3163,Ponta
12.5,7,3017,Ponta
12.5,7.5,2814,Ponta
12.5,8,2697,Ponta
12.5,8.5,2542,Ponta
12.5,9,2403,Ponta
12.5,9.5,2273,Ponta
12.5,10,2155,Ponta
12.5,10.5,2035,Ponta
12.5,11,1910,Ponta
12.5,11.5,1799,Ponta
12.5,12,1680,Ponta
12.5,12.5,1567,Ponta
12.5,13,1437,Ponta
12.5,13.5,1338,Ponta
12.5,14,1230,Ponta
12.5,14.5,1116,Ponta
12.5,15,1018,Ponta
12.5,15.5,912,Ponta
12.5,16,803,Ponta
12.5,16.5,708,Ponta
12.5,17,627,Ponta
12.5,17.5,529,Ponta
12.5,18,408,Ponta
12.5,18.5,311,Ponta
12.5,19,222,Ponta
12.5,19.5,111,Ponta
12.5,20,0,Ponta
12.5,0,4025,Aro
12.5,0.5,3694,Aro
12.5,1,3501,Aro
12.5,1.5,3316,Aro
12.5,2,3123,Aro
12.5,2.5,2946,Aro
12.5,3,2738,Aro
12.5,3.5,2526,Aro
12.5,4,2284,Aro
12.5,4.5,2156,Aro
12.5,5,1947,Aro
12.5,5.5,1854,Aro
12.5,6,1853,Aro
12.5,6.5,1850,Aro
12.5,7,1849,Aro
12.5,7.5,1849,Aro
12.5,8,1848,Aro
12.5,8.5,1847,Aro
12.5,9,1847,Aro
12.5,9.5,1844,Aro
12.5,10,1842,Aro
12.5,10.5,1842,Aro
12.5,11,1840,Aro
12.5,11.5,1840,Aro
12.5,12,1842,Aro
12.5,12.5,1839,Aro
12.5,13,1838,Aro
12.5,13.5,1837,Aro
12.5,14,1834,Aro
12.5,14.5,1832,Aro
12.5,15,1838,Aro
12.5,15.5,1491,Aro
12.5,16,1281,Aro
12.5,16.5,1110,Aro
12.5,17,960,Aro
12.5,17.5,794,Aro
12.5,18,623,Aro
12.5,18.5,483,Aro
12.5,19,341,Aro
12.5,19.5,184,Aro
