fonte (v),Corrente (microA),Tensão (v),Menor dígito,
0.2,0.9,0.285,0.1,
0.4,26.7,0.408,0.1,
0.6,219,0.492,0.1,
0.8,481.1,0.527,0.1,
1,764,0.548,1,
1.2,1054,0.563,1,
1.4,1399,0.577,1,
1.6,1947,0.594,1,
1.8,2414,0.603,1,
2,2948,0.612,1,
2.2,3750,0.624,1,
2.4,4424,0.631,1,
2.6,4876,0.636,1,
2.8,5485,0.642,1,
3,10850,0.650,10,(troca de escala)
3.2,11510,0.675,10,
3.4,12460,0.679,10,
3.6,13100,0.681,10,
3.8,14130,0.684,10,
4,15020,0.687,10,
4.2,16130,0.690,10,
4.4,16790,0.692,10,
4.6,17920,0.695,10,
4.8,18700,0.697,10,
5,19360,0.698,10,
5.2,20530,0.701,10,
5.4,21180,0.702,10,
5.6,22280,0.705,10,
5.8,23010,0.706,10,
6,23830,0.707,10,
6.2,24670,0.709,10,
6.4,25560,0.71,10,
6.6,26720,0.712,10,
6.8,27210,0.712,10,
7,28280,0.715,10,
7.2,29240,0.716,10,
7.4,29960,0.717,10,
7.6,31130,0.719,10,
7.8,31800,0.72,10,
8,32900,0.721,10,
8.2,33740,0.722,10,
8.4,34510,0.724,10,
8.6,35200,0.724,10,
8.8,36070,0.725,10,
9,37150,0.726,10,
9.2,37990,0.727,10,
9.4,38760,0.728,10,
9.6,39700,0.729,10,
9.8,40580,0.73,10,
10,41610,0.731,10,
0.2,0,-0.197,0.1,
0.4,-0.1,-0.418,0.1,
0.6,-0.1,-0.671,0.1,
0.8,-0.1,-0.829,0.1,
1,-0.1,-1.090,0.1,
1.2,-0.1,-1.249,0.1,
1.4,-0.2,-1.48,0.1,
1.6,-0.2,-1.709,0.1,
1.8,-0.2,-1.823,0.1,
2,-0.2,-2.164,0.1,
2.2,-0.2,-2.219,0.1,
2.4,-0.2,-2.426,0.1,
2.6,-0.2,-2.605,0.1,
2.8,-0.3,-2.839,0.1,
3,-0.3,-3.022,0.1,
3.5,-0.3,-3.543,0.1,
4,-0.4,-3.999,0.1,
4.5,-0.4,-4.530,0.1,
5,-0.5,-5.070,0.1,
5.5,-0.5,-5.568,0.1,
6,-0.6,-6,0.1,
6.5,-0.7,-6.47,0.1,
7,-0.7,-6.97,0.1,
7.5,-0.7,-7.48,0.1,
8,-0.8,-7.93,0.1,
8.5,-0.8,-8.43,0.1,
9,-0.9,-8.89,0.1,
9.5,-0.9,-9.5,0.1,
10,-1,-9.92,0.1,
