fonte (v),Corrente (miliA),Tensão (v),Menor dígito
0.3,1.2,0.126,0.1
0.5,1.72,0.18,0.1
0.7,2.6,0.266,0.1
0.9,2.7,0.281,0.1
1.1,3.2,0.335,0.1
1.3,3.2,0.335,0.1
1.5,4.65,0.484,0.1
1.7,5.09,0.519,0.1
1.9,6.78,0.73,0.1
2.1,7.22,0.73,0.1
2.3,7.69,0.806,0.1
2.5,7.96,0.835,0.1
2.7,7.95,0.832,0.1
2.9,9.44,0.989,0.1
3.1,9.45,0.989,0.1
3.3,10.12,1.057,0.1
3.5,10.69,1.120,0.1
3.7,11.67,1.209,0.1
3.9,12.46,1.390,0.1
4.1,12.54,1.314,0.1
4.3,13.26,1.306,0.1
4.5,14.15,1.45,0.1
4.7,15.01,1.572,0.1
4.9,15.51,1.624,0.1
5.1,16.21,1.698,0.1
5.3,16.83,1.763,0.1
5.5,17.44,1.829,0.1
5.9,18.64,1.953,0.1
6.1,19.18,2.015,0.1
6.3,19.83,2.076,0.1
6.5,20.45,2.154,0.1
6.7,21.03,2.182,0.1
6.9,21.61,2.209,0.1
7.1,22.26,2.299,0.1
7.3,22.73,2.365,0.1
7.5,23.20,2.43,0.1
7.7,24.19,2.504,0.1
7.9,24.67,2.684,0.1
8.1,25.48,2.629,0.1
8.3,26.28,2.712,0.1
8.5,26.99,2.828,0.1
8.7,27.40,2.861,0.1
8.9,27.80,2.893,0.1
9.1,28.59,3.035,0.1
9.3,28.40,2.973,0.1
9.5,30.15,3.142,0.1
9.7,30.43,3.177,0.1
9.9,30.76,3.222,0.1
0.3,-1.19,-0.124,0.1
0.5,-1.77,-0.188,0.1
0.7,-2.47,-0.303,0.1
0.9,-3.16,-0.418,0.1
1.1,-3.50,-0.277,0.1
1.3,-4.27,-0.399,0.1
1.5,-5.04,-0.521,0.1
1.7,-5.41,-0.529,0.1
1.9,-6.23,-0.605,0.1
2.1,-6.65,-0.662,0.1
2.3,-7.35,-0.718,0.1
2.5,-7.86,-0.815,0.1
2.7,-8.09,-0.847,0.1
2.9,-9.35,-0.950,0.1
3.1,-9.67,-1.013,0.1
3.3,-10.47,-1.085,0.1
3.5,-11.18,-1.172,0.1
3.7,-11.57,-1.212,0.1
3.9,-11.95,-1.252,0.1
4.1,-12.75,-1.336,0.1
4.3,-13.55,-1.420,0.1
4.5,-14.09,-1.440,0.1
4.7,-14.15,-1.483,0.1
4.9,-15.11,-1.541,0.1
5.1,-16.07,-1.599,0.1
5.3,-16.82,-1.758,0.1
5.5,-17.68,-1.801,0.1
5.7,-17.70,-1.811,0.1
5.9,-18.61,-1.941,0.1
6.1,-19.25,-1.983,0.1
6.3,-19.89,-2.024,0.1
6.5,-20.33,-2.130,0.1
6.7,-21.07,-2.185,0.1
6.9,-21.81,-2.240,0.1
7.1,-22.35,-2.279,0.1
7.3,-22.88,-2.317,0.1
7.5,-23.56,-2.467,0.1
7.7,-24.26,-2.470,0.1
7.9,-24.99,-2.620,0.1
8.1,-25.52,-2.647,0.1
8.3,-26.10,-2.721,0.1
8.5,-26.67,-2.795,0.1
8.7,-27.21,-2.860,0.1
8.9,-28.06,-2.941,0.1
9.1,-28.63,-2.946,0.1
9.3,-29.20,-2.950,0.1
9.5,-29.91,-3.133,0.1
9.7,-30.74,-3.196,0.1
9.9,-31.08,-3.258,0.1
10.1,-31.57,-3.308,0.1
