,fonte (v),Corrente (microA),Tensão (v),Menor dígito,Unnamed: 4,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
0,0.2,0.1,0.215,1.0000000000000001e-07,,1.0000000000000001e-07,0.0004301259505462712,0.0002886751345948129,0.00040824829046386303,8.674687794574126e-08,2.8867513459481292e-08,4.082482904638631e-08,2150000.0
1,0.4,21.3,0.419,1.0000000000000001e-07,,2.13e-05,0.0007834643152903222,0.0002886751345948129,0.00040824829046386303,1.1734644221279144e-07,2.8867513459481292e-08,4.082482904638631e-08,19671.36150234742
2,0.6,183.7,0.579,1.0000000000000001e-07,,0.0001837,0.0010605924445013426,0.0002886751345948129,0.00040824829046386303,3.5175065150377945e-07,2.8867513459481292e-08,4.082482904638631e-08,3151.8780620577027
3,0.8,425.0,718.0,1e-06,,0.000425,0.6795412668361895,0.0002886751345948129,0.00040824829046386303,7.000372013924213e-07,2.886751345948129e-07,4.0824829046386305e-07,1689411.7647058824
4,1.0,728.0,0.909,1e-06,,0.000728,0.001632169210999072,0.0002886751345948129,0.00040824829046386303,1.137380030303563e-06,2.886751345948129e-07,4.0824829046386305e-07,1248.6263736263736
5,1.2,992.0,1.042,1e-06,,0.000992,0.001862531968405733,0.0002886751345948129,0.00040824829046386303,1.5184312079687158e-06,2.886751345948129e-07,4.0824829046386305e-07,1050.4032258064517
6,1.4,1356.0,1.164,1e-06,,0.001356,0.0020738421669291357,0.0002886751345948129,0.00040824829046386303,2.0438199529312752e-06,2.886751345948129e-07,4.0824829046386305e-07,858.4070796460177
7,1.6,1907.0,1.265,1e-06,,0.001907,0.002248779298493592,0.0002886751345948129,0.00040824829046386303,2.8391199487399853e-06,2.886751345948129e-07,4.0824829046386305e-07,663.3455689564761
8,1.8,2567.0,1.346,1e-06,,0.002567,0.0023890754139066716,0.0002886751345948129,0.00040824829046386303,3.7917478929028674e-06,2.886751345948129e-07,4.0824829046386305e-07,524.3474873393067
9,2.0,2975.0,1.387,1e-06,,0.002975,0.0024600894970169956,0.0002886751345948129,0.00040824829046386303,4.380645167476286e-06,2.886751345948129e-07,4.0824829046386305e-07,466.21848739495795
10,2.2,3751.0,1.456,1e-06,,0.003751,0.0025796010027392484,0.0002886751345948129,0.00040824829046386303,5.50070468970416e-06,2.886751345948129e-07,4.0824829046386305e-07,388.16315649160225
11,2.4,4351.0,1.505,1e-06,,0.004351,0.002664471492310123,0.0002886751345948129,0.00040824829046386303,6.366730093488599e-06,2.886751345948129e-07,4.0824829046386305e-07,345.897494828775
12,2.6,4922.0,1.548,1e-06,,0.004922,0.0027389496770355852,0.0002886751345948129,0.00040824829046386303,7.19089760275679e-06,2.886751345948129e-07,4.0824829046386305e-07,314.5062982527428
13,2.8,5637.0,1.601,1e-06,,0.005637,0.0028307483698367356,0.0002886751345948129,0.00040824829046386303,8.222911208933245e-06,2.886751345948129e-07,4.0824829046386305e-07,284.01632073798123
14,3.0,10730.0,1.65,1e-05,(troca de escala),0.01073,0.00291561885940761,0.0002886751345948129,0.00040824829046386303,1.6353446374796152e-05,2.8867513459481293e-06,4.082482904638631e-06,153.7744641192917
15,3.2,11740.0,0.743,1e-05,,0.01174,0.0013446487769426384,0.0002886751345948129,0.00040824829046386303,1.7811255804499957e-05,2.8867513459481293e-06,4.082482904638631e-06,63.287904599659285
16,3.4,12370.0,0.749,1e-05,,0.01237,0.0013550410817880516,0.0002886751345948129,0.00040824829046386303,1.8720582478473617e-05,2.8867513459481293e-06,4.082482904638631e-06,60.549717057396926
17,3.6,13420.0,0.759,1e-05,,0.01342,0.0013723615898637404,0.0002886751345948129,0.00040824829046386303,2.0236126935096387e-05,2.8867513459481293e-06,4.082482904638631e-06,56.55737704918033
18,3.8,14230.0,0.766,1e-05,,0.01423,0.0013844859455167226,0.0002886751345948129,0.00040824829046386303,2.1405261230205378e-05,2.8867513459481293e-06,4.082482904638631e-06,53.82993675333802
19,4.0,14820.0,0.771,1e-05,,0.01482,0.001393146199554567,0.0002886751345948129,0.00040824829046386303,2.2256852877260076e-05,2.8867513459481293e-06,4.082482904638631e-06,52.02429149797571
20,4.2,16020.0,0.782,1e-05,,0.01602,0.0014121987584378246,0.0002886751345948129,0.00040824829046386303,2.398890368482895e-05,2.8867513459481293e-06,4.082482904638631e-06,48.81398252184769
21,4.4,16780.0,0.786,1e-05,,0.01678,0.0014191269616681003,0.0002886751345948129,0.00040824829046386303,2.5085869196289245e-05,2.8867513459481293e-06,4.082482904638631e-06,46.841477949940405
22,4.6,17610.0,0.795,1e-05,,0.01761,0.00143471541893622,0.0002886751345948129,0.00040824829046386303,2.6283871004857715e-05,2.8867513459481293e-06,4.082482904638631e-06,45.14480408858603
23,4.8,18690.0,0.804,1e-05,,0.01869,0.00145030387620434,0.0002886751345948129,0.00040824829046386303,2.7842716731669703e-05,2.8867513459481293e-06,4.082482904638631e-06,43.01765650080257
24,5.0,19450.0,0.811,1e-05,,0.01945,0.0014624282318573222,0.0002886751345948129,0.00040824829046386303,2.8939682243129993e-05,2.8867513459481293e-06,4.082482904638631e-06,41.69665809768638
25,5.2,20080.0,0.815,1e-05,,0.02008,0.0014693564350875975,0.0002886751345948129,0.00040824829046386303,2.9849008917103657e-05,2.8867513459481293e-06,4.082482904638631e-06,40.58764940239043
26,5.4,21220.0,0.823,1e-05,,0.02122,0.0014832128415481485,0.0002886751345948129,0.00040824829046386303,3.149445718429409e-05,2.8867513459481293e-06,4.082482904638631e-06,38.78416588124411
27,5.6,22180.0,0.831,1e-05,,0.02218,0.0014970692480086997,0.0002886751345948129,0.00040824829046386303,3.288009783034919e-05,2.8867513459481293e-06,4.082482904638631e-06,37.46618575293057
28,5.8,22950.0,0.836,1e-05,,0.02295,0.0015057295020465438,0.0002886751345948129,0.00040824829046386303,3.3991497098539225e-05,2.8867513459481293e-06,4.082482904638631e-06,36.427015250544656
29,6.0,23900.0,0.844,1e-05,,0.0239,0.001519585908507095,0.0002886751345948129,0.00040824829046386303,3.5362703987864576e-05,2.8867513459481293e-06,4.082482904638631e-06,35.31380753138075
30,6.2,24480.0,0.846,1e-05,,0.02448,0.0015230500101222327,0.0002886751345948129,0.00040824829046386303,3.6199861878189535e-05,2.8867513459481293e-06,4.082482904638631e-06,34.55882352941177
31,6.4,25140.0,0.853,1e-05,,0.02514,0.0015351743657752148,0.0002886751345948129,0.00040824829046386303,3.715248982235242e-05,2.8867513459481293e-06,4.082482904638631e-06,33.92999204455052
32,6.6,26230.0,0.861,1e-05,,0.02623,0.001549030772235766,0.0002886751345948129,0.00040824829046386303,3.872576930589415e-05,2.8867513459481293e-06,4.082482904638631e-06,32.825009531071295
33,6.8,27140.0,0.868,1e-05,,0.02714,0.001561155127888748,0.0002886751345948129,0.00040824829046386303,4.0039241168300554e-05,2.8867513459481293e-06,4.082482904638631e-06,31.98231392778187
34,7.0,28200.0,0.875,1e-05,,0.0282,0.0015732794835417302,0.0002886751345948129,0.00040824829046386303,4.1569219381653056e-05,2.8867513459481293e-06,4.082482904638631e-06,31.02836879432624
35,7.2,28990.0,0.881,1e-05,,0.02899,0.0015836717883871434,0.0002886751345948129,0.00040824829046386303,4.270948616330257e-05,2.8867513459481293e-06,4.082482904638631e-06,30.389789582614696
36,7.4,29790.0,0.886,1e-05,,0.02979,0.001592332042424988,0.0002886751345948129,0.00040824829046386303,4.3864186701681823e-05,2.8867513459481293e-06,4.082482904638631e-06,29.741524001342732
37,7.6,30830.0,0.894,1e-05,,0.03083,0.001606188448885539,0.0002886751345948129,0.00040824829046386303,4.536529740157485e-05,2.8867513459481293e-06,4.082482904638631e-06,28.99772948426857
38,7.8,31400.0,0.898,1e-05,,0.0314,0.0016131166521158144,0.0002886751345948129,0.00040824829046386303,4.618802153517006e-05,2.8867513459481293e-06,4.082482904638631e-06,28.598726114649686
39,8.0,32270.0,0.904,1e-05,,0.03227,0.0016235089569612276,0.0002886751345948129,0.00040824829046386303,4.74437583706575e-05,2.8867513459481293e-06,4.082482904638631e-06,28.013634955066625
