,fonte (v),Corrente (miliA),Tensão (v),Menor dígito,Corrente (A),Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente,Resistencia (ohms)
0,0.3,1.2,0.126,1.0,12.0,0.00027597342867264116,0.0002886751345948129,0.00040824829046386303,0.05022947341949745,0.2886751345948129,0.4082482904638631,0.0105
1,0.5,1.72,0.18,1.0,17.2,0.00036950417228136056,0.0002886751345948129,0.00040824829046386303,0.06824280181821377,0.2886751345948129,0.4082482904638631,0.010465116279069767
2,0.7,2.6,0.266,1.0,26.0,0.000518460541732284,0.0002886751345948129,0.00040824829046386303,0.09872689603142601,0.2886751345948129,0.4082482904638631,0.01023076923076923
3,0.9,2.7,0.281,1.0,27.0,0.0005444413038458172,0.0002886751345948129,0.00040824829046386303,0.10219099764656377,0.2886751345948129,0.4082482904638631,0.010407407407407409
4,1.1,3.2,0.335,1.0,32.0,0.0006379720474545365,0.0002886751345948129,0.00040824829046386303,0.11951150572225255,0.2886751345948129,0.4082482904638631,0.01046875
5,1.3,3.2,0.335,1.0,32.0,0.0006379720474545365,0.0002886751345948129,0.00040824829046386303,0.11951150572225255,0.2886751345948129,0.4082482904638631,0.01046875
6,1.5,4.65,0.484,1.0,46.5,0.0008960476177822992,0.0002886751345948129,0.00040824829046386303,0.16974097914175001,0.2886751345948129,0.4082482904638631,0.010408602150537634
7,1.7,5.09,0.519,1.0,50.9,0.0009566693960472099,0.0002886751345948129,0.00040824829046386303,0.1849830262483561,0.2886751345948129,0.4082482904638631,0.01019646365422397
8,1.9,6.78,0.73,1.0,67.8,0.001322132116444243,0.0002886751345948129,0.00040824829046386303,0.24352634354418418,0.2886751345948129,0.4082482904638631,0.010766961651917404
9,2.1,7.22,0.73,1.0,72.2,0.001322132116444243,0.0002886751345948129,0.00040824829046386303,0.2587683906507903,0.2886751345948129,0.4082482904638631,0.010110803324099723
10,2.3,7.69,0.806,1.0,76.9,0.0014537679778194776,0.0002886751345948129,0.00040824829046386303,0.2750496682419378,0.2886751345948129,0.4082482904638631,0.010481144343302991
11,2.5,7.96,0.835,1.0,79.6,0.001503997451238975,0.0002886751345948129,0.00040824829046386303,0.2844027426028097,0.2886751345948129,0.4082482904638631,0.010489949748743718
12,2.7,7.95,0.832,1.0,79.5,0.0014988012988162685,0.0002886751345948129,0.00040824829046386303,0.2840563324412959,0.2886751345948129,0.4082482904638631,0.010465408805031447
13,2.9,9.44,0.989,1.0,94.39999999999999,0.0017707332756045822,0.0002886751345948129,0.00040824829046386303,0.33567144650684844,0.2886751345948129,0.4082482904638631,0.010476694915254239
14,3.1,9.45,0.989,1.0,94.5,0.0017707332756045822,0.0002886751345948129,0.00040824829046386303,0.33601785666836226,0.2886751345948129,0.4082482904638631,0.010465608465608466
