,Tensão da fonte (v),Corrente,Tensão do amperímetro (v),Menor dígito,Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente
0,0.2,305.1,0.151,0.1,0.00031927469886186305,0.0002886751345948129,0.00040824829046386303,1056897.4114387832,0.02886751345948129,0.040824829046386304
1,0.3,543.4,0.269,0.1,0.0005236566941549907,0.0002886751345948129,0.00040824829046386303,1882392.8263261102,0.02886751345948129,0.040824829046386304
2,0.4,662.0,0.326,0.1,0.0006223835901864167,0.0002886751345948129,0.00040824829046386303,2293235.2778814477,0.02886751345948129,0.040824829046386304
3,0.7,1115.0,0.523,1.0,0.0009635975992774856,0.0002886751345948129,0.00040824829046386303,3862473.3095388506,0.2886751345948129,0.4082482904638631
4,0.8,1337.0,0.585,1.0,0.0010709847493467557,0.0002886751345948129,0.00040824829046386303,4631503.868099432,0.2886751345948129,0.4082482904638631
5,0.9,1550.0,0.624,1.0,0.001138534730841942,0.0002886751345948129,0.00040824829046386303,5369357.512123775,0.2886751345948129,0.4082482904638631
6,1.0,2000.0,0.684,1.0,0.0012424577792960747,0.0002886751345948129,0.00040824829046386303,6928203.238935764,0.2886751345948129,0.4082482904638631
7,1.1,2212.0,0.706,1.0,0.00128056289706259,0.0002886751345948129,0.00040824829046386303,7662592.781344968,0.2886751345948129,0.4082482904638631
8,1.2,2380.0,0.722,1.0,0.0013082757099836919,0.0002886751345948129,0.00040824829046386303,8244561.85268811,0.2886751345948129,0.4082482904638631
9,1.3,2743.0,0.755,1.0,0.001365433386633465,0.0002886751345948129,0.00040824829046386303,9502030.738983115,0.2886751345948129,0.4082482904638631
10,1.4,3094.0,0.783,1.0,0.0014139308092453934,0.0002886751345948129,0.00040824829046386303,10717930.405896468,0.2886751345948129,0.4082482904638631
11,1.5,3455.0,0.811,1.0,0.0014624282318573222,0.0002886751345948129,0.00040824829046386303,11968471.088961197,0.2886751345948129,0.4082482904638631
12,1.6,3835.0,0.838,1.0,0.0015091936036616817,0.0002886751345948129,0.00040824829046386303,13284829.702713544,0.2886751345948129,0.4082482904638631
13,1.7,4263.0,0.868,1.0,0.001561155127888748,0.0002886751345948129,0.00040824829046386303,14767465.193992503,0.2886751345948129,0.4082482904638631
14,1.8,4476.0,0.882,1.0,0.0015854038391947122,0.0002886751345948129,0.00040824829046386303,15505318.838016845,0.2886751345948129,0.4082482904638631
15,1.9,4726.0,0.899,1.0,0.0016148487029233835,0.0002886751345948129,0.00040824829046386303,16371344.241801284,0.2886751345948129,0.4082482904638631
16,2.0,5136.0,0.925,1.0,0.0016598820239201741,0.0002886751345948129,0.00040824829046386303,17791625.904007763,0.2886751345948129,0.4082482904638631
17,2.1,5550.0,0.952,1.0,0.0017066473957245338,0.0002886751345948129,0.00040824829046386303,19225763.972674794,0.2886751345948129,0.4082482904638631
18,2.2,5746.0,0.964,1.0,0.0017274320054153603,0.0002886751345948129,0.00040824829046386303,19904727.889241792,0.2886751345948129,0.4082482904638631
