,Tensão da fonte (v),Corrente,Tensão do amperímetro (v),Menor dígito,Incerteza de cal de Tensão,Incerteza de ltr de Tensão,Incerteza de Tensão,Incerteza de cal de Corrente,Incerteza de ltr de Corrente,Incerteza de Corrente
0,0.5,2.77,0.015,0.01,8.371578903249575e-05,0.0002886751345948129,0.00040824829046386303,9.604221727969426,0.002886751345948129,0.004082482904638631
1,1.0,4.96,0.027,0.01,0.00010450039872332227,0.0002886751345948129,0.00040824829046386303,17.19060426512111,0.002886751345948129,0.004082482904638631
2,1.5,7.18,0.04,0.01,0.0001270170592217177,0.0002886751345948129,0.00040824829046386303,24.880909850726923,0.002886751345948129,0.004082482904638631
3,2.0,9.49,0.052,0.01,0.0001478016689125442,0.0002886751345948129,0.00040824829046386303,32.88298458169513,0.002886751345948129,0.004082482904638631
4,2.5,11.61,0.064,0.01,0.00016858627860337074,0.0002886751345948129,0.00040824829046386303,40.22688000578717,0.002886751345948129,0.004082482904638631
5,3.0,14.42,0.08,0.01,0.00019629909152447277,0.0002886751345948129,0.00040824829046386303,49.961005544324266,0.002886751345948129,0.004082482904638631
6,3.5,15.95,0.088,0.01,0.00021015549798502378,0.0002886751345948129,0.00040824829046386303,55.261081015485026,0.002886751345948129,0.004082482904638631
7,4.0,18.3,0.101,0.01,0.00023267215848341922,0.0002886751345948129,0.00040824829046386303,63.401719811058754,0.002886751345948129,0.004082482904638631
8,4.5,20.51,0.113,0.01,0.0002534567681742457,0.0002886751345948129,0.00040824829046386303,71.0573843805132,0.002886751345948129,0.004082482904638631
9,5.0,23.08,0.128,0.01,0.0002794375302877789,0.0002886751345948129,0.00040824829046386303,79.9601255314172,0.002886751345948129,0.004082482904638631
10,5.5,25.18,0.139,0.01,0.0002984900891710366,0.0002886751345948129,0.00040824829046386303,87.2347389232065,0.002886751345948129,0.004082482904638631
11,6.0,27.42,0.152,0.01,0.000321006749669432,0.0002886751345948129,0.00040824829046386303,94.99432654111507,0.002886751345948129,0.004082482904638631
12,6.5,29.53,0.163,0.01,0.00034005930855268967,0.0002886751345948129,0.00040824829046386303,102.30358094905574,0.002886751345948129,0.004082482904638631
13,7.0,31.97,0.177,0.01,0.00036430801985865393,0.0002886751345948129,0.00040824829046386303,110.75598888999185,0.002886751345948129,0.004082482904638631
14,7.5,34.41,0.19,0.01,0.0003868246803570493,0.0002886751345948129,0.00040824829046386303,119.20839683092795,0.002886751345948129,0.004082482904638631
15,8.0,36.62,0.203,0.01,0.00040934134085544475,0.0002886751345948129,0.00040824829046386303,126.86406140038241,0.002886751345948129,0.004082482904638631
