,,Info,,Tempo (s),Tensão (V),,Incerteza de Tempo (s),Incerteza de Tensão (V)
0,Sample Interval,1.000000e-05,,-0.01229,-3.92,,8.703878456613466e-06,0.1009822385868302
1,Trigger Point,1.230000000000e+03,,-0.01228,-3.92,,8.703878456613466e-06,0.1009822385868302
2,,,,-0.01227,-3.92,,8.703878456613466e-06,0.1009822385868302
3,,,,-0.01226,-3.92,,8.703878456613466e-06,0.1009822385868302
4,,,,-0.01225,-3.92,,8.703878456613466e-06,0.1009822385868302
5,Source,CH1,,-0.01224,-3.92,,8.703878456613466e-06,0.1009822385868302
6,Vertical Units,V,,-0.01223,-3.92,,8.703878456613466e-06,0.1009822385868302
7,Vertical Scale,2.000000e+00,,-0.01222,-3.92,,8.703878456613466e-06,0.1009822385868302
8,Vertical Offset,1.600000e-01,,-0.01221,-3.92,,8.703878456613466e-06,0.1009822385868302
9,Horizontal Units,s,,-0.0122,-3.92,,8.703878456613466e-06,0.1009822385868302
10,Horizontal Scale,2.500000e-03,,-0.01219,-3.92,,8.703878456613466e-06,0.1009822385868302
11,Pt Fmt,Y,,-0.01218,-3.92,,8.703878456613466e-06,0.1009822385868302
12,Yzero,0.000000e+00,,-0.01217,-3.92,,8.703878456613466e-06,0.1009822385868302
13,Probe Atten,1.000000e+00,,-0.01216,-3.84,,8.703878456613466e-06,0.0989038566993598
14,Model Number,TBS1062,,-0.01215,-3.84,,8.703878456613466e-06,0.0989038566993598
15,Serial Number,C011224,,-0.01214,-3.92,,8.703878456613466e-06,0.1009822385868302
16,Firmware Version,FV:v26.01,,-0.01213,-3.84,,8.703878456613466e-06,0.0989038566993598
17,,,,-0.01212,-3.84,,8.703878456613466e-06,0.0989038566993598
18,,,,-0.01211,-3.84,,8.703878456613466e-06,0.0989038566993598
19,,,,-0.0121,-3.84,,8.703878456613466e-06,0.0989038566993598
20,,,,-0.01209,-3.84,,8.703878456613466e-06,0.0989038566993598
21,,,,-0.01208,-3.84,,8.703878456613466e-06,0.0989038566993598
22,,,,-0.01207,-3.84,,8.703878456613466e-06,0.0989038566993598
23,,,,-0.01206,-3.76,,8.703878456613466e-06,0.09682547820696522
24,,,,-0.01205,-3.84,,8.703878456613466e-06,0.0989038566993598
25,,,,-0.01204,-3.84,,8.703878456613466e-06,0.0989038566993598
26,,,,-0.01203,-3.76,,8.703878456613466e-06,0.09682547820696522
27,,,,-0.01202,-3.76,,8.703878456613466e-06,0.09682547820696522
28,,,,-0.01201,-3.76,,8.703878456613466e-06,0.09682547820696522
29,,,,-0.012,-3.76,,8.703878456613466e-06,0.09682547820696522
30,,,,-0.01199,-3.76,,8.703878456613466e-06,0.09682547820696522
31,,,,-0.01198,-3.68,,8.703878456613466e-06,0.09474710333307028
32,,,,-0.01197,-3.76,,8.703878456613466e-06,0.09682547820696522
33,,,,-0.01196,-3.68,,8.703878456613466e-06,0.09474710333307028
34,,,,-0.01195,-3.76,,8.703878456613466e-06,0.09682547820696522
35,,,,-0.01194,-3.76,,8.703878456613466e-06,0.09682547820696522
36,,,,-0.01193,-3.68,,8.703878456613466e-06,0.09474710333307028
37,,,,-0.01192,-3.68,,8.703878456613466e-06,0.09474710333307028
38,,,,-0.01191,-3.68,,8.703878456613466e-06,0.09474710333307028
39,,,,-0.0119,-3.68,,8.703878456613466e-06,0.09474710333307028
40,,,,-0.01189,-3.68,,8.703878456613466e-06,0.09474710333307028
41,,,,-0.01188,-3.6,,8.703878456613466e-06,0.09266873232114217
42,,,,-0.01187,-3.6,,8.703878456613466e-06,0.09266873232114217
43,,,,-0.01186,-3.6,,8.703878456613466e-06,0.09266873232114217
44,,,,-0.01185,-3.6,,8.703878456613466e-06,0.09266873232114217
45,,,,-0.01184,-3.6,,8.703878456613466e-06,0.09266873232114217
46,,,,-0.01183,-3.6,,8.703878456613466e-06,0.09266873232114217
47,,,,-0.01182,-3.6,,8.703878456613466e-06,0.09266873232114217
48,,,,-0.01181,-3.6,,8.703878456613466e-06,0.09266873232114217
49,,,,-0.0118,-3.52,,8.703878456613466e-06,0.09059036543699059
50,,,,-0.01179,-3.52,,8.703878456613466e-06,0.09059036543699059
51,,,,-0.01178,-3.52,,8.703878456613466e-06,0.09059036543699059
52,,,,-0.01177,-3.52,,8.703878456613466e-06,0.09059036543699059
53,,,,-0.01176,-3.52,,8.703878456613466e-06,0.09059036543699059
54,,,,-0.01175,-3.52,,8.703878456613466e-06,0.09059036543699059
55,,,,-0.01174,-3.52,,8.703878456613466e-06,0.09059036543699059
56,,,,-0.01173,-3.44,,8.703878456613466e-06,0.08851200297139084
57,,,,-0.01172,-3.52,,8.703878456613466e-06,0.09059036543699059
58,,,,-0.01171,-3.44,,8.703878456613466e-06,0.08851200297139084
59,,,,-0.0117,-3.44,,8.703878456613466e-06,0.08851200297139084
60,,,,-0.01169,-3.44,,8.703878456613466e-06,0.08851200297139084
61,,,,-0.01168,-3.36,,8.703878456613466e-06,0.08643364524308515
62,,,,-0.01167,-3.36,,8.703878456613466e-06,0.08643364524308515
63,,,,-0.01166,-3.36,,8.703878456613466e-06,0.08643364524308515
64,,,,-0.01165,-3.36,,8.703878456613466e-06,0.08643364524308515
65,,,,-0.01164,-3.36,,8.703878456613466e-06,0.08643364524308515
66,,,,-0.01163,-3.36,,8.703878456613466e-06,0.08643364524308515
67,,,,-0.01162,-3.36,,8.703878456613466e-06,0.08643364524308515
68,,,,-0.01161,-3.28,,8.703878456613466e-06,0.08435529260222797
69,,,,-0.0116,-3.28,,8.703878456613466e-06,0.08435529260222797
70,,,,-0.01159,-3.28,,8.703878456613466e-06,0.08435529260222797
