time;Bx;By;Bz;BT
0,001530;-0,23;-27,90;0,23;27,90
0,009495;-0,15;-27,90;0,60;27,91
0,024450;0,15;-27,60;0,75;27,61
0,028501;0,23;-27,60;0,38;27,60
0,037225;0,45;-27,83;0,30;27,83
0,047228;0,68;-27,75;0,15;27,76
0,057326;0,75;-27,60;0,08;27,61
0,067299;0,68;-27,75;-0,15;27,76
0,079157;0,38;-27,75;-0,08;27,75
0,087812;0,23;-27,68;-0,45;27,68
0,098066;0,00;-27,75;-0,45;27,75
0,107205;-0,15;-27,75;-0,45;27,75
0,124105;-0,23;-27,83;-0,45;27,83
0,128436;-0,08;-27,68;-0,30;27,68
0,137454;0,00;-27,60;-0,30;27,60
0,147317;0,15;-27,45;-0,08;27,45
0,156988;0,23;-27,53;0,08;27,53
0,167399;0,45;-27,30;-0,15;27,30
0,179098;0,45;-27,23;-0,38;27,23
0,187548;0,60;-27,15;-0,38;27,16
0,197872;0,38;-27,00;-0,53;27,01
0,207275;0,38;-27,08;-0,30;27,08
0,217587;0,08;-27,08;-0,08;27,08
0,239971;-0,15;-27,00;-0,15;27,00
0,240775;-0,30;-26,85;-0,15;26,85
0,247436;-0,38;-27,15;0,23;27,15
0,258224;-0,38;-27,08;0,23;27,08
0,267629;-0,15;-27,08;0,15;27,08
0,278741;0,08;-26,93;0,38;26,93
0,287344;-0,45;-26,93;0,15;26,93
0,297498;0,00;-26,93;0,00;26,93
0,307091;0,08;-27,00;-0,08;27,00
0,317275;0,30;-27,15;-0,08;27,15
0,327821;0,23;-27,15;-0,15;27,15
0,339478;0,00;-27,45;0,00;27,45
0,347544;0,08;-27,45;0,15;27,45
0,357145;-0,15;-27,45;0,15;27,45
0,367327;0,15;-27,45;0,15;27,45
0,391939;-0,15;-27,60;0,15;27,60
0,392545;-0,23;-27,75;0,00;27,75
0,397315;-0,30;-27,75;0,15;27,75
0,407060;-0,23;-27,75;0,00;27,75
0,417722;0,08;-27,45;-0,15;27,45
0,427380;-0,15;-27,45;-0,45;27,45
0,437225;-0,08;-27,30;-0,53;27,31
0,449728;0,15;-27,23;-0,53;27,23
0,457082;0,15;-27,30;-0,53;27,31
0,467380;0,15;-27,08;-0,38;27,08
0,478206;0,08;-27,15;-0,53;27,16
0,487445;0,08;-27,23;-0,38;27,23
0,497323;0,15;-27,08;-0,38;27,08
0,507280;0,15;-27,30;-0,23;27,30
0,517206;0,23;-27,30;-0,08;27,30
0,527324;0,15;-27,38;-0,23;27,38
0,537247;0,15;-27,15;-0,08;27,15
0,547448;0,38;-27,15;0,15;27,15
0,561022;0,68;-27,08;0,30;27,09
0,567268;0,75;-27,08;0,23;27,09
0,578750;0,75;-27,08;0,45;27,09
0,587551;0,75;-27,08;0,83;27,10
0,599687;0,60;-27,15;0,75;27,17
0,607561;0,45;-27,15;0,90;27,17
0,618583;0,30;-27,15;0,45;27,16
0,628471;0,30;-27,00;0,30;27,00
0,637422;0,15;-27,08;0,30;27,08
0,647803;-0,15;-26,85;0,38;26,85
0,657761;-0,38;-27,15;0,15;27,15
0,670136;-0,53;-27,00;-0,08;27,01
0,680179;-0,45;-26,93;0,08;26,93
0,687203;-0,15;-26,85;0,30;26,85
0,697441;0,08;-26,85;0,45;26,85
0,707249;0,15;-27,00;0,38;27,00
0,717849;0,15;-26,93;0,08;26,93
0,727433;0,38;-27,23;0,08;27,23
0,737460;0,38;-27,23;0,15;27,23
0,747413;0,45;-27,30;0,30;27,31
0,757934;0,45;-27,38;0,30;27,38
0,768388;0,38;-27,53;0,15;27,53
0,780477;0,08;-27,45;0,38;27,45
0,787230;-0,23;-27,45;0,45;27,45
0,797320;-0,38;-27,45;0,45;27,46
0,811381;-0,38;-27,30;0,45;27,31
0,817681;-0,15;-27,30;0,45;27,30
0,827285;0,00;-27,15;0,15;27,15
0,837558;-0,15;-27,15;0,23;27,15
0,847282;-0,15;-27,08;0,23;27,08
0,857601;0,00;-27,08;0,15;27,08
0,867447;0,23;-27,00;0,00;27,00
0,877559;0,45;-26,85;0,08;26,85
0,893016;0,45;-26,85;-0,30;26,86
0,897976;0,45;-26,93;-0,38;26,93
0,907653;0,23;-27,08;-0,23;27,08
0,918722;0,23;-27,00;-0,15;27,00
0,934960;0,45;-26,85;-0,15;26,85
0,937519;0,15;-27,00;-0,15;27,00
0,952032;0,15;-27,15;-0,08;27,15
0,957325;0,15;-27,15;0,08;27,15
0,967517;0,00;-27,38;0,30;27,38
0,977335;0,00;-27,38;0,38;27,38
0,987087;0,23;-27,15;0,23;27,15
0,999826;0,30;-27,08;-0,08;27,08
1,009131;0,15;-27,23;0,15;27,23
1,017262;0,30;-27,23;0,08;27,23
1,027525;0,08;-27,38;-0,15;27,38
1,038254;0,00;-27,53;-0,23;27,53
1,047275;0,23;-27,45;-0,08;27,45
1,060998;0,15;-27,53;0,00;27,53
1,067131;-0,08;-27,45;0,00;27,45
1,077863;-0,23;-27,75;0,00;27,75
1,087566;-0,23;-27,68;0,00;27,68
1,102170;-0,23;-27,68;0,00;27,68
1,116863;-0,08;-27,68;0,15;27,68
1,117794;-0,08;-27,30;0,45;27,30
1,127340;-0,23;-27,38;0,38;27,38
1,137418;-0,38;-27,53;0,38;27,53
1,147409;-0,38;-27,60;0,60;27,61
1,158482;-0,45;-27,60;0,60;27,61
1,167477;-0,38;-27,53;0,45;27,53
1,177915;-0,45;-27,45;0,68;27,46
1,187200;-0,45;-27,60;0,68;27,61
1,197541;-0,45;-27,75;0,45;27,76
1,219541;-0,53;-27,53;0,45;27,53
1,221945;-0,53;-27,53;0,23;27,53
1,232571;-0,83;-27,90;-0,15;27,91
1,237286;-0,68;-27,53;0,00;27,53
1,247575;-0,75;-27,53;0,00;27,54
1,258628;-0,45;-27,53;0,00;27,53
1,267124;-0,38;-27,15;0,15;27,15
