time;Bx;By;Bz;BT
0,004556;-0,45;-26,55;0,15;26,55
0,011366;-0,08;-26,63;0,45;26,63
0,019404;-0,15;-26,55;0,38;26,55
0,029429;-0,15;-26,48;0,00;26,48
0,039421;0,15;-26,33;0,30;26,33
0,050012;0,08;-26,10;0,38;26,10
0,073676;0,15;-25,65;0,15;25,65
0,074662;0,15;-25,43;0,23;25,43
0,080360;-0,15;-25,43;0,15;25,43
0,089396;-0,45;-25,35;0,15;25,35
0,100185;-0,23;-25,35;0,30;25,35
0,113026;-0,23;-25,50;0,38;25,50
0,119707;-0,30;-25,58;0,15;25,58
0,129994;-0,38;-25,43;-0,08;25,43
0,139525;-0,45;-25,65;-0,08;25,65
0,149594;-0,23;-25,95;-0,23;25,95
0,159593;-0,08;-26,03;-0,30;26,03
0,169589;0,00;-26,03;-0,45;26,03
0,179544;-0,08;-26,03;-0,45;26,03
0,189429;-0,15;-26,10;-0,45;26,10
0,200175;-0,38;-25,88;-0,45;25,88
0,213047;-0,23;-25,80;-0,15;25,80
0,227567;-0,23;-25,73;0,15;25,73
0,229307;-0,30;-25,65;0,38;25,65
0,239434;-0,15;-25,50;0,38;25,50
0,249701;-0,23;-25,65;0,30;25,65
0,259555;-0,30;-25,95;0,45;25,96
0,269503;-0,15;-25,65;0,60;25,66
0,279456;-0,30;-25,80;0,53;25,81
0,292287;-0,15;-26,10;0,30;26,10
0,299534;-0,08;-26,10;0,15;26,10
0,309775;0,08;-26,10;-0,15;26,10
0,319142;-0,15;-26,25;0,00;26,25
0,335067;-0,45;-25,95;0,00;25,95
0,339855;-0,30;-25,65;0,00;25,65
0,352283;-0,15;-25,80;-0,08;25,80
0,359452;0,15;-25,73;-0,15;25,73
0,369405;0,15;-25,43;0,15;25,43
0,379499;-0,08;-25,58;0,30;25,58
0,389506;0,15;-25,35;0,30;25,35
0,399700;0,38;-25,50;0,45;25,51
0,410967;0,83;-25,65;0,60;25,67
0,419170;0,75;-25,80;0,30;25,81
0,430011;0,68;-25,88;0,23;25,88
0,443158;0,75;-25,95;0,30;25,96
0,449512;0,38;-26,18;0,08;26,18
0,459779;0,23;-26,18;-0,30;26,18
0,470018;-0,08;-26,10;0,00;26,10
0,479927;-0,30;-26,18;-0,45;26,18
0,497162;-0,53;-26,25;-0,45;26,26
0,499615;-0,38;-26,03;-0,68;26,04
0,512180;-0,45;-25,88;-0,60;25,89
0,519332;-0,38;-25,88;-0,53;25,88
0,529672;-0,15;-25,65;-0,53;25,66
0,539606;0,23;-25,58;-0,45;25,58
0,553172;0,23;-25,95;-0,60;25,96
0,559521;0,15;-25,88;-0,38;25,88
0,569580;0,15;-25,95;-0,30;25,95
0,579730;0,00;-25,95;-0,15;25,95
0,590568;-0,08;-26,03;-0,23;26,03
0,600224;-0,23;-26,03;-0,30;26,03
0,610014;-0,15;-26,10;-0,30;26,10
0,619719;-0,38;-26,33;-0,60;26,33
0,633226;-0,30;-26,03;-0,75;26,04
0,647828;-0,08;-26,03;-1,12;26,05
0,649765;0,00;-26,10;-1,28;26,13
0,664335;0,15;-26,55;-1,12;26,57
0,669674;0,23;-26,70;-1,05;26,72
0,679563;0,45;-26,78;-0,98;26,80
0,689466;0,53;-26,85;-1,12;26,88
0,699390;0,38;-26,55;-0,75;26,56
0,710049;0,15;-26,78;-0,68;26,78
0,722023;0,00;-26,85;-0,23;26,85
0,729670;-0,08;-26,85;-0,15;26,85
0,740597;-0,23;-26,63;-0,45;26,63
0,749818;-0,30;-26,40;-0,60;26,41
0,760415;-0,45;-26,48;-0,60;26,49
0,781986;-0,60;-26,48;-0,38;26,48
0,782794;-0,53;-26,55;-0,45;26,56
0,792790;-0,45;-26,48;-0,45;26,48
0,799476;0,00;-26,33;-0,53;26,33
0,809574;0,15;-26,33;-0,53;26,33
0,819799;0,23;-26,18;-0,08;26,18
0,831621;0,15;-26,10;-0,08;26,10
0,839791;0,15;-25,88;0,30;25,88
0,849481;0,23;-25,95;0,30;25,95
0,859930;0,38;-25,95;0,53;25,96
0,870143;0,15;-26,25;0,53;26,26
0,883411;-0,30;-26,25;0,60;26,26
0,890034;-0,38;-25,95;0,68;25,96
0,900069;-0,23;-26,03;0,45;26,03
0,909710;-0,30;-26,10;0,53;26,11
0,919915;-0,38;-26,18;0,08;26,18
0,929963;-0,30;-25,95;0,15;25,95
0,943386;-0,23;-25,80;-0,15;25,80
0,949589;-0,08;-25,50;-0,08;25,50
0,959468;0,30;-25,50;-0,38;25,50
0,969704;0,38;-25,73;-0,45;25,73
0,979704;0,23;-25,80;-0,23;25,80
0,994599;0,30;-25,88;-0,23;25,88
0,999399;0,38;-25,88;0,08;25,88
1,009888;0,45;-25,95;-0,15;25,95
1,020082;0,38;-25,95;0,15;25,95
1,030039;0,15;-26,10;0,15;26,10
1,040186;-0,15;-26,10;0,45;26,10
1,051327;0,00;-26,03;0,53;26,03
1,063702;0,15;-26,18;0,38;26,18
1,075531;0,23;-26,25;0,30;26,25
1,079319;0,23;-26,25;0,23;26,25
1,089574;0,08;-26,18;0,38;26,18
1,104422;-0,08;-26,25;0,15;26,25
1,109520;0,30;-25,95;0,38;25,95
1,120294;0,53;-25,88;-0,08;25,88
1,133459;0,45;-25,73;-0,15;25,73
1,139301;0,23;-25,65;-0,15;25,65
1,149468;-0,08;-25,58;0,15;25,58
1,159348;-0,30;-25,88;-0,08;25,88
1,170891;0,00;-25,73;0,00;25,73
1,179207;-0,08;-25,65;0,30;25,65
1,189269;-0,30;-25,95;0,23;25,95
1,199510;-0,45;-25,95;0,60;25,96
1,212648;-0,53;-26,03;0,83;26,04
1,219253;-0,45;-25,95;1,20;25,98
1,229448;-0,23;-26,10;1,12;26,13
1,239489;0,00;-25,65;1,35;25,69
1,249190;-0,15;-25,73;1,20;25,75
1,259155;-0,08;-25,58;1,12;25,60
1,269712;0,08;-25,50;0,90;25,52
1,279411;-0,15;-25,50;0,90;25,52
1,289407;0,00;-25,65;0,30;25,65
1,299373;-0,15;-25,65;0,30;25,65
1,310166;0,15;-25,35;0,23;25,35
1,329352;0,15;-25,58;0,23;25,58
1,330084;0,15;-25,65;0,23;25,65
1,340527;0,15;-25,65;-0,15;25,65
1,349472;0,15;-25,73;0,15;25,73
1,359570;0,15;-25,65;-0,08;25,65
1,369731;-0,15;-25,58;0,30;25,58
1,380744;0,08;-25,35;-0,15;25,35
1,391732;-0,15;-25,43;-0,23;25,43
1,400378;-0,15;-25,35;-0,23;25,35
1,409272;-0,15;-25,35;-0,30;25,35
1,419569;0,08;-25,35;-0,08;25,35
1,432676;0,08;-25,35;-0,30;25,35
1,439240;0,30;-25,35;-0,15;25,35
1,449239;0,68;-25,35;-0,15;25,36
1,459213;0,60;-25,65;0,00;25,66
1,472316;0,53;-25,80;-0,15;25,81
1,479153;0,38;-25,95;-0,30;25,95
1,489930;0,38;-26,03;-0,30;26,03
1,499144;0,15;-26,10;-0,15;26,10
1,509405;0,30;-25,88;-0,15;25,88
1,519291;0,15;-26,10;-0,30;26,10
1,529340;-0,08;-26,03;-0,23;26,03
1,542881;-0,23;-25,95;-0,23;25,95
1,549304;-0,45;-25,95;-0,23;25,95
1,559387;-0,38;-26,03;-0,23;26,03
1,569337;-0,45;-26,33;-0,15;26,33
1,579247;-0,53;-26,40;-0,60;26,41
1,589418;-0,98;-26,78;-0,15;26,79
1,599174;-1,05;-26,70;0,08;26,72
1,611320;-0,83;-26,63;-0,15;26,64
1,619120;-0,90;-26,70;-0,15;26,72
1,629131;-0,83;-26,55;0,23;26,56
1,639149;-0,75;-26,40;0,08;26,41
1,653854;-0,75;-25,95;0,00;25,96
1,659244;-0,60;-25,73;0,15;25,73
1,669552;-0,53;-25,65;-0,08;25,66
1,679141;-0,60;-25,88;-0,08;25,88
1,689269;-0,75;-25,95;0,00;25,96
1,699212;-0,45;-25,95;-0,08;25,95
1,710575;-0,45;-25,95;-0,45;25,96
1,719262;-0,45;-26,03;-0,15;26,03
1,730014;-0,45;-26,03;-0,08;26,03
1,739401;-0,45;-26,03;0,00;26,03
1,756488;-0,45;-26,03;-0,15;26,03
1,762734;-0,23;-25,73;-0,30;25,73
1,769300;-0,15;-25,58;-0,30;25,58
1,779136;-0,30;-25,65;-0,15;25,65
1,789182;-0,45;-25,65;0,15;25,65
1,800179;-0,45;-25,43;0,15;25,43
1,809218;-0,30;-25,58;0,15;25,58
1,819701;-0,30;-25,50;0,15;25,50
1,829374;0,00;-25,35;0,38;25,35
1,839338;-0,30;-25,58;0,23;25,58
1,849686;-0,38;-25,80;0,45;25,81
1,859246;-0,45;-25,80;0,23;25,80
1,872745;-0,08;-25,65;0,15;25,65
1,879158;0,15;-25,50;-0,15;25,50
1,889335;0,00;-25,65;-0,15;25,65
1,899864;0,08;-25,65;-0,23;25,65
1,909189;0,08;-25,95;-0,15;25,95
1,919463;0,45;-25,65;0,15;25,65
1,929541;0,68;-25,65;0,15;25,66
1,939106;0,83;-25,50;0,38;25,52
1,950612;0,45;-25,73;0,45;25,73
1,959549;0,38;-25,95;0,68;25,96
1,970182;0,60;-26,10;0,75;26,12
1,984019;0,68;-26,25;0,75;26,27
1,989071;0,53;-26,18;0,45;26,18
1,999541;0,45;-26,18;0,30;26,18
2,009236;0,38;-26,25;0,15;26,25
2,019264;0,45;-26,10;0,23;26,10
2,029783;0,68;-25,95;0,00;25,96
2,040761;0,30;-25,80;0,00;25,80
2,050438;0,23;-25,65;-0,08;25,65
2,060352;0,15;-25,35;0,00;25,35
2,069319;0,23;-25,05;0,08;25,05
2,079736;0,15;-25,13;0,08;25,13
2,092756;-0,15;-25,20;0,15;25,20
2,100356;-0,23;-25,05;0,15;25,05
2,109323;-0,15;-25,28;0,38;25,28
2,119193;0,15;-25,58;0,38;25,58
2,129458;0,15;-25,43;0,23;25,43
2,140501;0,15;-25,80;0,30;25,80
2,149521;0,00;-26,03;0,60;26,03
2,159249;0,08;-26,18;0,75;26,19
2,171330;0,15;-26,10;0,75;26,11
2,179462;0,30;-26,48;0,90;26,49
2,189336;-0,08;-26,33;0,75;26,34
2,203090;-0,15;-26,25;1,05;26,27
2,209381;-0,15;-26,33;1,05;26,35
2,219441;-0,23;-26,25;0,75;26,26
2,229703;-0,15;-26,10;0,75;26,11
2,239860;-0,38;-26,03;0,68;26,04
2,249856;-0,53;-25,95;0,68;25,96
2,259587;-0,45;-25,95;0,38;25,96
2,269780;-0,38;-25,95;0,38;25,96
2,279653;-0,15;-25,95;-0,23;25,95
2,290313;-0,08;-25,80;-0,15;25,80
2,307186;-0,15;-25,88;0,15;25,88
2,314540;-0,08;-25,95;0,00;25,95
2,319582;0,30;-25,80;-0,08;25,80
2,329277;0,30;-25,73;0,15;25,73
2,339305;0,23;-25,50;0,38;25,50
2,349736;0,30;-25,73;0,38;25,73
2,359572;0,23;-25,58;0,68;25,58
2,369830;0,30;-25,65;0,68;25,66
2,379473;0,53;-25,80;0,45;25,81
2,390328;0,15;-25,95;0,23;25,95
2,399553;0,00;-26,25;0,30;26,25
2,409511;0,00;-26,40;0,08;26,40
2,423031;-0,15;-26,55;0,00;26,55
2,429162;-0,23;-26,40;0,15;26,40
2,439669;-0,23;-26,55;0,00;26,55
2,452646;-0,30;-26,40;-0,08;26,40
2,459864;-0,60;-26,25;-0,15;26,26
2,469413;-0,15;-26,03;0,15;26,03
2,479499;0,00;-25,95;0,15;25,95
2,489597;0,00;-25,80;0,08;25,80
2,499536;0,00;-25,95;0,00;25,95
2,509238;0,08;-25,95;-0,15;25,95
2,521057;0,08;-25,80;0,15;25,80
2,533305;0,08;-25,88;0,08;25,88
2,539888;0,23;-25,88;0,15;25,88
2,551639;-0,15;-26,03;0,15;26,03
2,560168;-0,23;-25,95;0,00;25,95
2,570302;0,30;-25,88;0,23;25,88
2,580602;0,53;-25,73;0,08;25,73
2,594234;0,53;-25,80;-0,15;25,81
2,606387;0,45;-25,88;-0,38;25,88
2,609588;0,23;-26,03;-0,15;26,03
2,619010;0,30;-25,88;-0,15;25,88
2,629479;0,38;-25,88;-0,38;25,88
2,643248;0,30;-26,03;-0,75;26,04
2,649380;-0,15;-26,10;-0,90;26,12
2,659530;-0,38;-26,10;-0,75;26,11
2,670676;-0,45;-26,03;-0,45;26,03
2,680604;-0,45;-25,95;-0,45;25,96
2,689833;-0,38;-25,95;-0,45;25,96
2,701142;-0,45;-26,18;-0,30;26,18
2,710177;-0,45;-25,95;-0,08;25,95
2,719603;-0,38;-25,88;0,38;25,88
2,729563;-0,53;-25,88;0,38;25,88
