time;Bx;By;Bz;BT
0,002511;0,15;-25,13;-0,15;25,13
0,004121;0,15;-24,98;-0,15;24,98
0,019230;0,15;-25,13;0,15;25,13
0,024238;-0,15;-25,05;0,30;25,05
0,034319;-0,38;-24,98;0,15;24,98
0,044264;-0,23;-24,83;0,38;24,83
0,054311;-0,38;-24,83;0,38;24,83
0,064397;-0,45;-24,98;0,30;24,98
0,074225;-0,45;-25,05;0,45;25,06
0,084017;-0,45;-25,28;0,45;25,28
0,103259;-0,60;-25,35;0,15;25,36
0,106160;-0,45;-25,20;-0,15;25,20
0,114221;-0,15;-25,13;-0,30;25,13
0,124290;-0,15;-25,13;-0,45;25,13
0,133938;0,00;-25,05;-0,23;25,05
0,144357;0,08;-25,05;-0,30;25,05
0,155897;-0,08;-25,05;-0,45;25,05
0,169833;-0,30;-25,20;-0,45;25,21
0,174699;-0,38;-25,05;-0,45;25,06
0,183912;-0,53;-25,13;-0,45;25,13
0,196122;-0,75;-25,13;-0,15;25,14
0,206553;-0,83;-25,05;-0,08;25,06
0,216308;-0,83;-25,20;-0,08;25,21
0,224459;-0,90;-25,05;0,00;25,07
0,234506;-0,83;-24,98;0,00;24,99
0,254720;-0,90;-24,83;0,00;24,84
0,255352;-0,75;-25,20;0,15;25,21
0,264335;-0,68;-25,13;0,38;25,14
0,274245;-0,45;-25,20;0,15;25,20
0,284104;-0,15;-25,35;0,38;25,35
0,294088;-0,15;-25,43;0,30;25,43
0,305048;0,00;-25,65;0,30;25,65
0,314340;0,08;-25,88;0,38;25,88
0,324989;0,38;-25,80;0,45;25,81
0,334073;0,30;-25,50;0,83;25,52
0,344258;0,30;-25,43;0,68;25,44
0,355925;0,15;-25,43;0,68;25,43
0,364367;0,00;-25,65;0,53;25,66
0,374219;0,08;-25,43;0,75;25,44
0,383930;0,00;-25,43;0,98;25,44
0,394510;-0,23;-25,20;0,60;25,21
0,410276;-0,23;-25,13;0,45;25,13
0,414240;0,00;-24,98;0,15;24,98
0,424374;0,00;-25,05;0,15;25,05
0,435166;-0,15;-24,98;0,30;24,98
0,444423;-0,23;-24,60;0,15;24,60
0,455847;-0,30;-24,53;0,00;24,53
0,464244;-0,23;-24,45;-0,45;24,46
0,474370;-0,08;-24,60;-0,30;24,60
0,484361;-0,15;-24,60;-0,38;24,60
0,494375;-0,38;-24,75;-0,45;24,76
0,510037;-0,38;-24,75;-0,23;24,75
0,514473;-0,08;-24,90;-0,15;24,90
0,525662;-0,08;-24,98;-0,08;24,98
0,534471;0,00;-25,05;-0,15;25,05
0,546186;-0,15;-25,05;0,15;25,05
0,554152;-0,30;-25,05;0,30;25,05
0,565351;-0,23;-25,13;0,30;25,13
0,574351;-0,15;-25,13;0,38;25,13
0,584351;-0,15;-25,20;0,30;25,20
0,594523;-0,23;-25,35;0,15;25,35
0,604658;-0,30;-25,20;0,30;25,20
0,615111;-0,53;-25,28;0,53;25,29
0,624432;-0,45;-25,35;0,38;25,36
0,634714;-0,45;-25,35;0,30;25,36
0,645260;-0,45;-25,50;0,38;25,51
0,663180;-0,45;-25,43;0,38;25,43
0,663970;-0,60;-25,28;0,53;25,29
0,676904;-0,53;-25,05;0,60;25,06
0,684548;-0,45;-25,35;0,75;25,37
0,694219;-0,30;-25,35;0,53;25,36
0,704361;-0,15;-25,20;0,75;25,21
0,714297;0,15;-25,05;0,75;25,06
0,724348;-0,08;-24,90;0,75;24,91
0,734214;-0,15;-25,05;0,75;25,06
0,744983;-0,23;-25,20;0,45;25,21
0,754163;-0,38;-25,13;0,00;25,13
0,766987;-0,38;-24,90;-0,23;24,90
0,774250;-0,30;-24,83;-0,23;24,83
0,784835;-0,60;-24,75;-0,45;24,76
0,794160;-0,53;-24,83;-0,23;24,83
0,806609;-0,45;-24,75;-0,45;24,76
0,813932;-0,30;-24,75;-0,45;24,76
0,824360;-0,08;-24,53;-0,30;24,53
0,834191;0,08;-24,60;0,08;24,60
0,844855;0,15;-24,53;0,08;24,53
0,854427;0,30;-24,45;0,15;24,45
0,864752;0,15;-24,68;0,00;24,68
0,876804;0,08;-24,60;-0,15;24,60
0,884754;0,15;-24,75;0,00;24,75
0,895612;0,15;-24,68;0,00;24,68
0,905192;0,15;-24,75;-0,08;24,75
0,914242;0,23;-24,68;0,08;24,68
0,925216;0,15;-24,83;0,15;24,83
0,945396;0,00;-24,98;0,15;24,98
0,946225;0,15;-24,75;0,53;24,76
0,962262;0,00;-24,90;0,68;24,91
0,965536;0,00;-24,98;0,90;24,99
0,974368;0,08;-24,98;0,45;24,98
0,985953;0,00;-24,83;0,53;24,83
0,994434;-0,15;-24,90;0,38;24,90
1,004378;-0,15;-24,75;0,38;24,75
1,014329;-0,08;-24,83;0,15;24,83
1,024777;-0,15;-24,98;-0,08;24,98
1,036360;0,08;-24,90;0,08;24,90
1,044941;0,00;-24,83;-0,08;24,83
1,054722;-0,08;-24,75;0,15;24,75
1,064248;-0,15;-24,98;0,15;24,98
1,074489;-0,23;-25,13;0,15;25,13
1,090316;-0,23;-25,13;0,38;25,13
1,095428;-0,38;-25,05;0,38;25,06
1,104740;-0,38;-25,13;0,53;25,13
1,114327;-0,38;-25,20;0,38;25,21
1,124233;-0,30;-25,05;0,15;25,05
1,135776;-0,08;-25,05;0,15;25,05
1,144446;-0,08;-25,28;0,08;25,28
1,154414;-0,08;-25,05;0,08;25,05
1,164932;-0,15;-25,35;-0,08;25,35
1,174964;-0,23;-25,28;-0,15;25,28
1,185786;-0,15;-25,13;-0,08;25,13
1,194342;-0,23;-25,28;-0,08;25,28
1,206920;-0,15;-25,35;0,38;25,35
1,213855;-0,38;-25,43;0,38;25,43
1,228458;-0,38;-25,43;0,53;25,43
1,240660;-0,23;-25,50;0,53;25,51
1,244304;-0,08;-25,20;0,38;25,20
1,254547;-0,08;-25,35;0,30;25,35
1,264202;-0,15;-25,35;0,08;25,35
1,274262;0,08;-25,43;0,15;25,43
1,285031;-0,15;-25,43;-0,15;25,43
1,294337;-0,23;-25,35;-0,08;25,35
1,304599;-0,15;-25,20;-0,30;25,20
1,315592;0,00;-25,05;-0,15;25,05
1,324365;-0,08;-25,35;-0,15;25,35
1,336115;0,08;-25,20;0,15;25,20
1,344799;0,15;-25,35;0,08;25,35
1,354362;0,15;-25,35;-0,15;25,35
1,365055;-0,08;-25,28;-0,08;25,28
1,374941;0,15;-25,35;-0,08;25,35
1,387115;-0,08;-25,43;0,08;25,43
1,394170;0,08;-25,35;0,15;25,35
1,404094;-0,15;-25,28;0,30;25,28
1,414061;-0,15;-25,28;0,30;25,28
1,425132;-0,38;-25,05;0,38;25,06
1,434232;-0,45;-24,83;0,38;24,83
1,444393;-0,38;-24,90;0,15;24,90
1,454229;-0,38;-24,98;0,15;24,98
1,465268;-0,23;-24,98;0,15;24,98
1,474193;-0,38;-24,98;-0,23;24,98
1,492717;-0,38;-24,90;-0,45;24,91
1,494295;-0,38;-24,90;-0,45;24,91
1,508896;-0,45;-25,20;-0,45;25,21
1,515491;-0,45;-25,13;-0,45;25,13
1,524242;-0,45;-25,20;-0,23;25,21
1,536582;-0,45;-25,20;-0,08;25,20
1,544540;-0,45;-25,35;0,00;25,35
1,554955;-0,30;-25,28;0,15;25,28
1,564591;-0,15;-25,35;0,15;25,35
1,574216;-0,15;-25,35;0,00;25,35
1,583965;-0,08;-25,35;0,15;25,35
1,594303;-0,08;-25,65;0,38;25,65
1,604775;-0,38;-25,58;0,15;25,58
1,614426;-0,45;-25,43;0,00;25,43
1,625175;-0,45;-25,28;0,00;25,28
1,643840;-0,53;-25,35;0,00;25,36
1,645256;-0,45;-25,28;0,23;25,28
1,656223;-0,60;-25,05;0,45;25,06
1,665221;-0,60;-24,98;0,45;24,99
1,673958;-0,60;-24,90;0,23;24,91
1,684877;-0,38;-24,98;0,53;24,98
1,694366;-0,45;-25,05;0,60;25,06
1,704440;-0,53;-25,13;0,45;25,13
1,714945;-0,60;-25,35;0,45;25,36
1,724878;-0,75;-25,50;0,15;25,51
1,734275;-0,68;-25,80;-0,08;25,81
1,744515;-0,60;-25,80;-0,23;25,81
1,755091;-0,68;-25,65;-0,08;25,66
1,770624;-0,45;-25,65;-0,15;25,65
1,774682;-0,15;-25,50;-0,15;25,50
1,786630;0,08;-25,50;-0,08;25,50
1,794682;0,08;-25,43;0,08;25,43
1,804334;0,15;-25,43;0,15;25,43
1,816717;0,15;-25,35;0,30;25,35
1,824340;0,08;-25,43;0,45;25,43
1,834380;-0,08;-25,43;0,45;25,43
1,844878;-0,15;-25,35;0,53;25,36
1,854437;-0,45;-25,43;0,45;25,43
1,867107;-0,75;-25,28;0,45;25,29
1,874123;-0,60;-25,28;0,38;25,28
1,885074;-0,75;-25,28;0,45;25,29
1,893872;-0,83;-25,35;0,68;25,37
1,904725;-0,68;-25,13;0,60;25,14
1,924664;-0,60;-25,28;0,60;25,29
1,925348;-0,45;-25,35;0,60;25,36
1,937575;-0,30;-25,28;0,75;25,29
1,944283;-0,15;-25,35;0,75;25,36
1,954106;0,15;-25,35;0,75;25,36
1,965636;0,23;-25,20;0,53;25,21
1,974990;0,30;-25,20;0,38;25,20
1,984531;0,30;-25,35;0,45;25,36
1,993840;0,38;-25,13;0,45;25,13
2,004196;0,30;-25,05;0,30;25,05
2,014995;0,23;-25,05;0,15;25,05
2,024147;0,23;-25,05;0,30;25,05
2,034318;0,08;-24,83;0,45;24,83
2,044034;0,15;-24,75;0,53;24,76
2,054251;0,15;-24,75;0,53;24,76
2,065007;0,15;-24,68;0,45;24,68
2,074251;0,08;-24,75;0,38;24,75
2,086516;0,15;-24,53;0,53;24,53
2,094048;0,23;-24,53;0,83;24,54
2,104185;0,08;-24,45;0,45;24,45
2,114818;0,15;-24,68;0,15;24,68
2,124572;-0,15;-24,75;-0,15;24,75
2,134212;-0,15;-24,98;-0,30;24,98
2,143943;-0,30;-24,83;-0,15;24,83
2,154383;-0,15;-24,83;0,08;24,83
2,165694;-0,45;-25,05;-0,08;25,05
2,174484;-0,53;-25,05;-0,23;25,06
2,184515;-0,60;-25,05;-0,23;25,06
