time;Bx;By;Bz;BT
0,002388;-0,68;25,50;-0,53;25,51
0,004293;-0,45;25,43;-0,60;25,44
0,016615;-0,45;25,43;-0,53;25,43
0,024267;-0,23;25,35;-0,45;25,35
0,034397;-0,23;25,43;-0,23;25,43
0,044568;-0,15;25,35;-0,23;25,35
0,056476;0,15;25,43;0,00;25,43
0,064751;0,23;25,65;0,15;25,65
0,077934;0,15;25,80;0,38;25,80
0,084269;0,15;25,88;0,75;25,89
0,094585;0,30;26,03;0,98;26,04
0,106282;0,15;26,25;0,98;26,27
0,121866;0,30;26,10;0,98;26,12
0,124668;0,45;26,18;0,75;26,19
0,134301;0,23;25,95;0,53;25,96
0,144469;0,15;25,58;0,38;25,58
0,154234;0,15;25,65;0,45;25,65
0,164279;0,15;25,35;-0,08;25,35
0,174135;0,15;25,35;-0,45;25,35
0,187227;-0,15;25,28;-0,60;25,28
0,194931;-0,45;25,43;-0,75;25,44
0,204509;-0,45;25,35;-0,75;25,37
0,219691;-0,45;25,50;-0,75;25,51
0,234860;-0,68;25,58;-0,75;25,59
0,235414;-0,38;25,50;-1,05;25,52
0,244371;-0,45;25,58;-0,83;25,59
0,255904;-0,68;25,58;-1,05;25,61
0,265200;-0,45;25,50;-1,05;25,53
0,274463;-0,15;25,43;-0,83;25,44
0,284084;-0,45;25,35;-0,75;25,37
0,297587;-0,45;25,28;-0,38;25,28
0,306076;-0,30;25,35;-0,38;25,35
0,314414;-0,45;25,35;-0,15;25,35
0,324646;-0,38;25,13;-0,23;25,13
0,334158;-0,23;24,98;-0,15;24,98
0,344477;-0,30;24,83;0,08;24,83
0,355430;-0,38;24,75;0,23;24,75
0,364785;-0,45;25,20;0,30;25,21
0,374669;-0,15;25,20;-0,15;25,20
0,385628;-0,23;25,13;-0,23;25,13
0,401234;0,00;25,28;-0,60;25,28
0,411468;0,08;25,43;-0,23;25,43
0,414320;-0,08;25,58;-0,38;25,58
0,425509;-0,15;25,65;-0,38;25,65
0,434644;-0,30;25,65;-0,38;25,65
0,444464;0,08;25,35;-0,45;25,35
0,455246;-0,15;25,43;-0,53;25,43
0,465086;-0,15;25,43;-0,15;25,43
0,474453;-0,45;25,28;-0,15;25,28
0,484389;-0,23;25,50;-0,15;25,50
0,494682;-0,23;25,35;0,15;25,35
0,506133;-0,15;25,35;0,15;25,35
0,518094;0,23;25,28;-0,08;25,28
0,524353;0,15;25,28;0,15;25,28
0,535050;0,15;25,35;0,15;25,35
0,544579;0,15;25,35;-0,15;25,35
0,558661;0,15;25,43;-0,23;25,43
0,564305;0,15;25,35;-0,45;25,35
0,574494;0,15;25,50;-0,45;25,50
0,584252;0,15;25,50;-0,75;25,51
0,594859;0,15;25,80;-0,83;25,81
0,604869;0,15;25,80;-0,83;25,81
0,614531;0,30;25,65;-0,60;25,66
0,627522;0,38;25,73;-0,75;25,74
0,635095;0,53;25,73;-0,75;25,74
0,645388;0,30;25,65;-0,68;25,66
0,659009;0,38;25,65;-0,83;25,67
0,664842;0,23;25,65;-0,60;25,66
0,675896;0,15;25,35;-0,68;25,36
0,684649;-0,08;25,43;-0,83;25,44
0,694484;0,08;25,43;-0,90;25,44
0,705124;0,15;25,43;-0,75;25,44
0,715677;-0,23;25,43;-0,75;25,44
0,724670;-0,15;25,58;-0,68;25,58
0,738573;-0,15;25,58;-0,68;25,58
0,744735;-0,15;25,58;-0,75;25,59
0,755185;-0,30;25,43;-0,60;25,43
0,764575;-0,15;25,50;-0,45;25,50
0,774653;-0,30;25,65;-0,68;25,66
0,785146;-0,45;25,58;-0,60;25,59
0,794827;-0,23;25,35;-0,53;25,36
0,814238;-0,45;25,28;-0,60;25,29
0,817186;-0,53;25,13;-0,60;25,14
0,827242;-0,53;25,05;-0,53;25,06
0,834182;-0,60;25,13;-0,38;25,13
0,847156;-0,45;25,20;-0,15;25,20
0,854424;-0,45;25,28;0,00;25,28
0,864620;-0,38;25,28;0,15;25,28
0,874396;-0,15;25,35;0,15;25,35
0,884657;0,15;25,28;0,15;25,28
0,895150;0,38;25,35;0,53;25,36
0,904733;0,45;25,43;0,60;25,44
0,914838;0,75;25,58;0,68;25,59
0,925124;0,30;25,35;0,45;25,36
0,947111;0,38;25,20;0,15;25,20
0,947665;0,30;25,20;0,15;25,20
0,958089;0,38;25,35;0,15;25,35
0,964118;0,08;25,43;0,00;25,43
0,974429;0,15;25,35;-0,38;25,35
0,984392;0,15;25,35;-0,45;25,35
0,994520;-0,08;25,35;-0,60;25,36
1,004367;0,15;25,43;-0,68;25,43
1,014365;0,08;25,43;-0,68;25,43
1,024795;-0,15;25,35;-0,83;25,36
1,037298;-0,23;24,98;-0,75;24,99
1,046172;-0,15;24,83;-0,60;24,83
1,054537;-0,30;24,98;-0,60;24,98
1,069714;-0,30;25,13;-0,60;25,13
1,074880;-0,30;25,05;-0,60;25,06
1,088248;-0,30;24,75;-0,45;24,76
1,094537;-0,15;24,68;-0,38;24,68
1,112700;-0,15;24,68;-0,08;24,68
1,114359;-0,30;25,05;-0,08;25,05
1,126902;-0,23;24,90;-0,23;24,90
1,135784;-0,23;24,75;-0,38;24,75
1,144512;-0,38;24,60;-0,45;24,61
1,154460;-0,23;24,75;-0,38;24,75
1,164306;-0,15;24,83;-0,45;24,83
1,177271;0,00;24,75;-0,45;24,75
1,185728;0,15;24,75;-0,60;24,76
1,194639;0,23;24,68;-0,75;24,69
1,204458;0,00;24,60;-0,75;24,61
1,214417;0,30;24,83;-0,83;24,84
1,229142;0,45;24,90;-0,90;24,92
1,239521;0,30;24,90;-0,90;24,92
1,244289;0,23;25,05;-0,75;25,06
1,254357;0,15;25,35;-0,68;25,36
1,264386;0,00;25,28;-0,83;25,29
1,274488;-0,08;25,35;-0,68;25,36
1,288113;0,08;25,50;-0,60;25,51
1,294833;-0,15;25,43;-0,45;25,43
1,304562;-0,45;25,28;-0,30;25,28
1,314296;-0,15;25,20;-0,30;25,20
1,324381;-0,23;25,05;-0,15;25,05
1,335098;-0,38;24,90;-0,38;24,91
1,344512;-0,45;25,05;-0,15;25,05
