time;Bx;By;Bz;BT
0,000734;0,00;25,35;-0,15;25,35
0,009490;0,15;25,28;0,00;25,28
0,019465;0,30;25,65;0,00;25,65
0,030889;0,45;25,95;0,00;25,95
0,039287;0,45;25,95;0,15;25,95
0,052173;0,23;25,65;0,15;25,65
0,059067;0,30;25,65;0,15;25,65
0,069414;0,08;25,35;0,38;25,35
0,081090;-0,08;25,28;0,08;25,28
0,089753;-0,15;25,35;0,00;25,35
0,099448;-0,15;25,05;0,08;25,05
0,110424;-0,08;24,98;0,15;24,98
0,126491;-0,08;24,83;0,00;24,83
0,130768;0,15;24,98;0,00;24,98
0,139713;0,15;25,20;-0,08;25,20
0,149601;0,15;25,28;-0,15;25,28
0,164804;0,15;25,28;-0,08;25,28
0,170838;0,00;25,35;-0,23;25,35
0,180844;-0,15;25,35;-0,23;25,35
0,190418;-0,15;25,35;-0,45;25,35
0,199552;-0,15;25,58;-0,45;25,58
0,210088;-0,30;25,58;-0,23;25,58
0,226753;-0,45;25,50;-0,23;25,50
0,230623;-0,38;25,65;0,00;25,65
0,240076;-0,30;25,80;0,08;25,80
0,249635;-0,15;25,73;0,23;25,73
0,259271;-0,15;25,50;0,23;25,50
0,272104;-0,15;25,65;0,53;25,66
0,280043;-0,23;25,50;0,45;25,50
0,289671;-0,23;25,50;0,38;25,50
0,299584;0,08;25,43;0,38;25,43
0,309493;0,08;25,35;0,08;25,35
0,326060;0,08;25,65;0,00;25,65
0,329362;0,15;25,73;0,00;25,73
0,339407;0,08;25,88;-0,15;25,88
0,349705;0,15;25,88;-0,23;25,88
0,359684;0,08;25,88;0,00;25,88
0,369772;0,15;25,88;-0,15;25,88
0,382185;0,00;26,03;-0,23;26,03
0,389212;0,08;25,95;-0,15;25,95
0,401189;0,00;25,65;-0,08;25,65
0,410049;0,00;25,73;-0,15;25,73
0,419393;0,15;25,88;0,23;25,88
0,429894;0,15;25,65;0,23;25,65
0,439684;0,15;25,95;0,15;25,95
0,449907;0,23;25,88;0,23;25,88
0,459478;0,23;25,80;0,38;25,80
0,469633;0,08;26,03;0,45;26,03
0,480068;0,30;26,33;0,53;26,33
0,492499;0,38;26,10;0,53;26,11
0,501445;0,45;25,95;0,15;25,95
0,510378;0,45;25,65;0,15;25,65
0,521330;0,68;25,65;0,30;25,66
0,533310;0,45;25,65;0,30;25,66
0,540897;0,60;25,58;0,38;25,58
0,549595;0,98;25,65;0,53;25,67
0,559665;0,75;25,35;0,45;25,37
0,569925;0,53;25,50;0,45;25,51
0,580036;0,45;25,73;0,45;25,73
0,589583;0,30;25,95;0,30;25,95
0,602400;0,15;25,95;0,15;25,95
0,609635;0,30;26,10;0,30;26,10
0,619644;0,30;26,03;0,15;26,03
0,630046;0,00;25,73;-0,15;25,73
0,639870;-0,15;25,80;-0,08;25,80
0,649651;0,15;25,80;-0,08;25,80
0,659774;0,15;25,58;-0,08;25,58
0,670139;0,30;25,43;0,15;25,43
0,679600;0,38;25,35;0,15;25,35
0,690426;0,23;25,13;-0,08;25,13
0,707023;-0,08;25,28;-0,15;25,28
0,715858;-0,15;25,43;0,00;25,43
0,719576;0,00;25,35;-0,08;25,35
0,729737;0,00;25,13;0,00;25,13
0,739551;-0,15;25,13;0,08;25,13
0,749679;-0,08;25,43;0,08;25,43
0,761746;-0,08;25,65;0,08;25,65
0,769732;0,00;25,73;0,38;25,73
0,780017;0,23;25,80;0,53;25,81
0,790105;0,45;25,73;0,53;25,73
0,804336;0,45;25,73;0,60;25,74
0,809526;0,15;25,95;0,45;25,95
0,822492;0,30;26,03;0,53;26,03
0,830861;0,08;25,95;0,38;25,95
0,839664;-0,08;25,65;0,23;25,65
0,850613;-0,23;25,35;0,15;25,35
0,859724;-0,30;25,28;0,00;25,28
0,870171;-0,60;25,35;-0,15;25,36
0,879380;-0,60;25,35;-0,30;25,36
0,889852;-0,60;25,35;-0,15;25,36
0,906292;-0,45;25,35;-0,60;25,36
0,909458;-0,38;25,43;-0,60;25,43
0,919694;0,08;25,73;-0,38;25,73
0,932256;0,23;25,95;-0,15;25,95
0,939474;0,30;26,03;0,15;26,03
0,949824;0,45;25,88;0,38;25,88
0,961073;0,53;25,80;0,38;25,81
0,969728;0,45;25,80;0,45;25,81
0,980322;0,38;25,88;0,75;25,89
0,990234;0,45;25,88;0,75;25,89
1,002007;0,00;25,65;0,68;25,66
1,015760;0,00;25,58;0,60;25,58
1,019480;-0,15;25,43;0,45;25,43
1,029487;-0,15;25,43;0,23;25,43
1,043782;-0,15;25,50;0,23;25,50
1,049737;0,00;25,58;0,15;25,58
1,061254;0,15;25,50;0,38;25,50
1,069787;0,15;25,50;0,45;25,50
1,079829;0,23;25,65;0,30;25,65
1,089832;0,23;25,58;0,15;25,58
1,103095;0,23;25,58;0,15;25,58
1,118029;0,38;25,58;0,30;25,58
1,119735;0,23;25,65;0,45;25,65
1,129597;0,08;25,50;0,15;25,50
1,139164;-0,08;25,43;0,00;25,43
1,152333;-0,15;25,35;-0,15;25,35
1,161312;-0,15;25,35;0,15;25,35
1,169882;-0,30;25,50;0,15;25,50
1,180982;-0,23;25,65;-0,15;25,65
1,190459;-0,45;25,65;-0,38;25,66
1,203448;-0,45;25,58;-0,53;25,58
1,219072;-0,38;25,95;-0,15;25,95
1,220064;-0,23;25,95;0,08;25,95
1,229681;-0,45;25,95;-0,15;25,95
1,239547;-0,60;25,88;-0,38;25,88
1,249674;-0,45;25,88;-0,38;25,88
1,262440;-0,45;25,80;-0,15;25,80
1,269632;-0,30;25,80;-0,15;25,80
1,279489;-0,15;25,95;-0,30;25,95
1,289627;-0,15;25,88;-0,45;25,88
1,303002;-0,15;25,95;-0,30;25,95
1,314443;0,23;25,95;-0,23;25,95
1,319958;0,45;25,95;0,08;25,95
1,329589;0,53;25,80;0,08;25,81
1,339542;0,60;25,80;0,08;25,81
1,349619;0,53;25,65;0,15;25,66
1,359552;0,60;25,35;0,38;25,36
1,372199;0,68;25,28;0,30;25,29
1,379842;0,38;25,05;-0,15;25,05
1,390283;0,53;25,28;0,08;25,28
1,400118;0,45;25,35;-0,30;25,36
1,414320;0,45;25,43;-0,45;25,43
1,420128;0,45;25,28;-0,45;25,28
1,429560;0,53;25,43;-0,45;25,43
1,439590;0,45;25,65;-0,53;25,66
1,449660;0,38;25,73;-0,60;25,73
1,460229;0,60;25,95;-0,45;25,96
1,469348;0,45;26,03;-0,53;26,03
1,483115;0,53;25,95;-0,30;25,96
1,497863;0,75;25,88;-0,15;25,89
1,500240;0,45;25,65;-0,08;25,65
1,513299;0,30;25,65;0,15;25,65
1,519488;0,15;25,88;0,15;25,88
1,530144;0,15;25,65;0,38;25,65
1,540122;0,15;25,58;0,60;25,58
1,549667;0,08;25,28;0,45;25,28
1,559882;-0,15;25,35;0,30;25,35
1,569578;-0,45;25,35;0,45;25,36
1,579994;-0,15;25,58;0,45;25,58
1,601608;0,00;25,35;0,23;25,35
1,602508;0,15;25,35;0,38;25,35
1,614549;0,15;25,13;0,53;25,13
1,620478;-0,08;24,98;0,15;24,98
1,629513;0,15;25,13;0,45;25,13
1,642255;0,08;25,05;0,53;25,06
1,649699;0,15;25,05;0,38;25,05
1,659660;0,08;24,90;0,00;24,90
1,669729;0,15;24,98;0,15;24,98
1,679997;-0,08;24,83;0,00;24,83
1,702233;-0,23;24,98;-0,08;24,98
1,703219;-0,15;24,83;0,08;24,83
1,716872;-0,45;24,75;0,00;24,75
1,719541;-0,30;24,75;0,08;24,75
1,729536;-0,38;24,98;0,15;24,98
1,740728;-0,45;24,98;0,68;24,99
1,749515;-0,45;25,05;0,68;25,06
1,759876;-0,38;25,35;0,90;25,37
1,769722;-0,23;25,35;0,90;25,37
1,779843;-0,08;25,50;0,75;25,51
1,802454;0,15;25,58;0,68;25,58
1,803317;0,08;25,65;0,75;25,66
1,814462;0,08;25,80;0,83;25,81
1,820915;0,08;25,95;0,68;25,96
1,829800;-0,15;25,73;0,60;25,73
1,841114;0,00;25,65;0,45;25,65
1,849745;0,00;25,65;0,38;25,65
1,860084;-0,15;25,73;0,53;25,73
1,869864;-0,23;25,65;0,45;25,65
1,879721;-0,15;25,50;0,08;25,50
1,891189;0,08;25,35;0,15;25,35
1,899222;0,23;25,20;0,15;25,20
1,909223;0,45;25,28;0,15;25,28
1,923319;0,15;25,05;0,15;25,05
1,929378;0,23;25,05;0,15;25,05
1,940008;0,38;25,13;0,00;25,13
1,949598;0,38;25,35;0,08;25,35
1,959559;0,15;25,28;0,30;25,28
1,969535;-0,15;25,35;0,15;25,35
1,979685;-0,45;25,35;-0,15;25,35
1,999033;-0,45;25,35;0,00;25,35
1,999598;-0,45;25,35;0,00;25,35
2,012043;-0,30;25,35;-0,15;25,35
2,019395;-0,38;25,20;-0,15;25,20
2,032006;-0,23;25,13;0,00;25,13
2,039808;-0,15;25,28;0,00;25,28
2,049373;0,15;25,20;-0,15;25,20
2,059675;0,08;25,28;0,15;25,28
2,069256;0,15;25,35;0,15;25,35
2,079753;0,30;25,58;0,15;25,58
2,100192;0,23;25,65;0,15;25,65
2,100841;0,15;25,88;0,15;25,88
2,110639;0,15;25,95;0,15;25,95
2,119546;0,30;25,88;-0,15;25,88
2,129658;0,15;25,95;0,15;25,95
2,142798;0,30;25,80;0,08;25,80
2,150725;0,23;25,73;-0,23;25,73
2,159767;0,23;25,73;-0,23;25,73
2,171153;0,30;25,65;-0,23;25,65
2,179587;0,45;25,58;-0,30;25,58
2,191076;0,68;25,43;-0,30;25,44
2,199598;0,45;25,58;-0,23;25,58
2,211747;0,53;25,43;-0,45;25,43
2,219620;0,75;25,50;-0,68;25,52
2,229754;0,53;25,50;-0,68;25,51
2,240327;0,45;25,50;-0,53;25,51
2,251956;0,45;25,50;-0,45;25,51
2,259520;0,38;25,35;-0,45;25,36
2,269340;0,15;25,35;-0,60;25,36
2,279831;0,15;25,28;-0,45;25,28
2,290900;-0,15;25,35;-0,38;25,35
2,299559;-0,23;25,20;-0,15;25,20
2,314386;-0,08;25,28;-0,15;25,28
2,320395;-0,38;25,05;-0,23;25,05
2,330017;-0,45;24,98;-0,30;24,98
2,339740;-0,53;25,05;-0,38;25,06
2,349647;-0,38;25,20;-0,23;25,20
2,363315;-0,23;25,13;-0,15;25,13
2,369759;0,08;25,28;-0,08;25,28
2,379656;0,08;25,35;-0,15;25,35
2,390841;0,00;25,35;-0,15;25,35
2,399460;0,30;25,50;-0,08;25,50
2,414707;0,53;25,65;0,15;25,66
2,421031;0,60;25,43;0,15;25,43
2,429461;0,53;25,43;0,15;25,43
2,439486;0,53;25,58;0,30;25,58
2,449610;0,15;25,20;0,38;25,20
2,459653;0,15;25,28;0,45;25,28
2,472395;0,08;25,28;0,45;25,28
2,481153;0,08;25,28;0,45;25,28
2,490172;-0,08;25,28;0,23;25,28
2,500562;0,00;25,35;0,45;25,35
2,509761;0,08;25,35;0,60;25,36
2,521678;0,00;25,50;0,45;25,50
2,529929;0,23;25,65;0,30;25,65
2,539613;0,53;25,80;0,38;25,81
2,549730;0,45;25,88;0,30;25,88
2,559638;0,45;26,03;0,38;26,03
2,571282;0,08;25,95;0,23;25,95
2,582318;-0,15;25,95;0,15;25,95
2,590027;-0,45;25,88;0,23;25,88
2,600398;-0,38;25,65;0,08;25,65
2,614412;-0,30;25,73;0,45;25,73
2,628294;-0,45;25,58;0,15;25,58
2,629751;-0,23;25,58;0,08;25,58
2,639414;-0,45;25,43;-0,15;25,43
2,650418;-0,30;25,35;0,08;25,35
2,659670;0,08;25,43;-0,15;25,43
2,670242;0,30;25,58;-0,45;25,58
2,679613;0,30;25,58;-0,45;25,58
2,692586;0,23;25,65;-0,68;25,66
2,699432;0,08;25,80;-0,68;25,81
2,710815;0,08;25,58;-0,45;25,58
2,727754;0,45;25,65;-0,45;25,66
2,729580;0,75;25,88;-0,68;25,89
2,739476;0,53;25,88;-0,53;25,89
2,749561;0,38;25,65;-0,30;25,65
2,759906;0,45;25,95;-0,30;25,96
2,770146;0,53;25,65;-0,45;25,66
2,780100;0,45;25,50;-0,30;25,51
2,791918;0,45;25,50;-0,30;25,51
2,806950;0,38;25,50;-0,15;25,50
2,810674;0,08;25,35;-0,08;25,35
2,820581;0,15;25,13;0,15;25,13
2,831741;0,15;25,13;0,00;25,13
2,839528;0,15;25,13;-0,08;25,13
2,849602;0,08;25,20;0,08;25,20
2,859512;0,08;25,13;0,08;25,13
2,869190;0,15;25,35;0,15;25,35
2,879306;-0,15;25,28;-0,15;25,28
