time;Bx;By;Bz;BT
0,002483;-0,30;25,65;-0,15;25,65
0,003076;-0,15;25,65;-0,15;25,65
0,016806;-0,30;25,43;0,00;25,43
0,038688;-0,30;25,50;0,08;25,50
0,039658;-0,38;25,50;0,15;25,50
0,047532;-0,45;25,50;0,00;25,50
0,051508;-0,30;25,50;0,23;25,50
0,061494;-0,23;25,58;0,00;25,58
0,072082;-0,15;25,50;0,08;25,50
0,081629;-0,45;25,50;0,08;25,50
0,091889;-0,23;25,43;0,23;25,43
0,101498;-0,45;25,35;0,08;25,35
0,111675;-0,45;25,20;0,00;25,20
0,121799;-0,38;25,20;0,23;25,20
0,131442;-0,68;25,13;-0,30;25,14
0,151800;-0,68;25,13;-0,15;25,13
0,152517;-0,60;25,28;-0,30;25,28
0,161614;-0,53;25,35;0,00;25,36
0,172750;-0,45;25,43;-0,15;25,43
0,181264;-0,30;25,50;-0,23;25,50
0,192848;-0,15;25,88;-0,38;25,88
0,201435;-0,15;25,88;-0,45;25,88
0,211572;0,00;25,80;-0,15;25,80
0,221558;-0,08;25,73;0,00;25,73
0,232249;0,15;25,73;0,15;25,73
0,241657;0,30;25,73;-0,08;25,73
0,255570;0,15;25,65;0,15;25,65
0,261621;0,15;25,65;0,15;25,65
0,271630;0,00;25,35;0,15;25,35
0,281525;0,00;25,35;0,23;25,35
0,312388;0,08;25,43;0,23;25,43
0,313026;0,23;25,65;0,23;25,65
0,313326;0,00;25,65;0,15;25,65
0,321149;-0,15;25,65;0,15;25,65
0,331197;0,08;25,80;0,23;25,80
0,341252;0,08;25,80;0,60;25,81
0,351732;0,08;25,95;0,53;25,96
0,363710;0,08;26,10;0,45;26,10
0,371669;0,15;26,03;0,38;26,03
0,381064;0,08;25,88;0,23;25,88
0,391055;-0,08;25,80;0,38;25,80
0,401201;0,15;25,80;0,38;25,80
0,411289;-0,15;25,80;0,45;25,80
0,423455;0,08;25,80;0,15;25,80
0,431606;0,15;25,95;0,15;25,95
0,441381;-0,08;25,65;0,15;25,65
0,451396;-0,15;25,80;0,08;25,80
0,461320;-0,23;25,80;0,15;25,80
0,474469;-0,08;25,80;0,38;25,80
