time;Bx;By;Bz;BT
0,002672;0,38;26,10;0,45;26,11
0,005886;0,45;25,88;0,15;25,88
0,020500;0,45;25,88;0,30;25,88
0,029018;0,45;25,65;0,53;25,66
0,035864;0,15;25,50;0,60;25,51
0,045969;0,23;25,65;0,38;25,65
0,057559;0,23;25,43;0,38;25,43
0,066028;0,08;25,50;0,75;25,51
0,076051;0,00;25,50;0,53;25,51
0,085965;0,08;25,65;0,98;25,67
0,102591;0,15;25,50;0,98;25,52
0,107787;0,00;25,65;0,53;25,66
0,116759;-0,08;25,80;0,15;25,80
0,125854;-0,23;25,65;0,15;25,65
0,141288;-0,30;25,80;0,23;25,80
0,145815;-0,08;25,88;0,00;25,88
0,157410;-0,15;25,95;-0,15;25,95
0,165933;-0,38;25,65;-0,53;25,66
0,176092;-0,60;25,65;-0,60;25,66
0,186984;-0,60;25,73;-0,45;25,74
0,196287;-0,60;25,73;-0,38;25,73
0,207423;-0,60;25,88;-0,38;25,88
0,216064;-0,38;25,95;-0,45;25,96
0,226272;-0,68;25,73;-0,38;25,74
0,235880;-0,45;25,65;-0,23;25,65
0,252643;-0,45;25,80;-0,15;25,80
0,256166;-0,38;25,95;-0,08;25,95
0,266063;-0,45;25,73;-0,08;25,73
0,276158;-0,45;25,80;0,00;25,80
0,285904;-0,45;25,73;0,08;25,73
0,295755;-0,38;25,65;0,08;25,65
0,306729;-0,08;25,80;-0,23;25,80
0,316206;-0,30;25,95;-0,08;25,95
0,325903;0,00;25,88;0,15;25,88
0,335894;0,08;25,95;0,15;25,95
0,346011;0,15;25,73;0,15;25,73
0,359092;0,30;25,58;0,15;25,58
0,365833;0,38;25,73;-0,08;25,73
0,386283;0,15;25,95;-0,08;25,95
0,387811;0,15;25,95;0,15;25,95
0,396264;0,45;25,88;-0,08;25,88
0,405901;0,23;25,80;-0,08;25,80
0,415758;0,30;25,73;-0,15;25,73
0,425890;0,23;25,73;-0,23;25,73
0,436003;0,00;25,73;-0,23;25,73
0,446091;0,23;25,58;-0,08;25,58
0,455950;0,30;25,43;0,00;25,43
0,469485;0,15;25,28;0,38;25,28
0,475810;0,15;25,20;0,60;25,21
0,485995;0,15;25,20;0,45;25,20
0,497021;0,30;25,35;0,45;25,36
0,511072;0,15;25,50;0,75;25,51
0,517702;0,30;25,65;0,75;25,66
0,527642;-0,08;25,65;0,60;25,66
0,537382;-0,23;25,50;0,45;25,50
0,545996;-0,45;25,50;0,15;25,50
0,555985;-0,68;25,43;0,08;25,43
0,566123;-0,90;25,50;0,15;25,52
0,580114;-0,90;25,50;0,15;25,52
0,586080;-0,53;25,65;-0,15;25,66
0,596846;-0,68;25,88;-0,15;25,88
0,606697;-0,38;25,80;0,00;25,80
0,616598;-0,23;25,80;0,08;25,80
0,626594;-0,15;26,10;0,08;26,10
0,636194;0,08;26,10;-0,08;26,10
0,646595;0,15;26,03;-0,15;26,03
0,660548;0,08;26,03;-0,15;26,03
0,666387;-0,30;25,95;-0,15;25,95
0,675972;-0,15;25,80;0,00;25,80
0,689633;-0,38;25,65;-0,15;25,65
0,695920;-0,30;25,73;-0,15;25,73
0,706132;-0,30;25,58;-0,15;25,58
0,715889;-0,30;25,50;-0,15;25,50
0,726017;-0,15;25,50;-0,15;25,50
0,735945;-0,23;25,43;-0,15;25,43
0,746503;0,08;25,58;0,00;25,58
0,756936;0,08;25,35;0,08;25,35
0,766684;0,15;25,35;0,23;25,35
0,776092;-0,15;25,28;0,15;25,28
0,786488;0,15;25,50;0,00;25,50
0,798891;0,30;25,65;0,30;25,65
0,811190;0,15;25,88;0,30;25,88
0,816853;0,38;25,88;0,60;25,88
0,826020;0,15;25,65;0,53;25,66
0,836311;0,15;25,73;0,30;25,73
0,847615;0,15;26,03;0,00;26,03
0,856266;0,30;26,25;0,15;26,25
0,866615;0,15;26,10;0,00;26,10
0,876840;0,15;26,25;0,00;26,25
0,886977;0,15;25,95;0,15;25,95
0,896427;-0,08;26,10;-0,30;26,10
0,909829;0,08;26,25;-0,23;26,25
0,915774;0,15;26,25;-0,23;26,25
0,928469;0,15;26,18;-0,15;26,18
0,942912;0,08;26,03;-0,45;26,03
0,945726;0,15;26,18;-0,15;26,18
0,955809;0,15;26,18;-0,23;26,18
0,965765;0,15;26,25;-0,45;26,25
0,975860;0,15;25,95;-0,30;25,95
0,986497;0,15;25,95;-0,53;25,96
0,996524;0,00;25,80;-0,45;25,80
1,006194;-0,08;25,65;-0,45;25,65
1,020674;0,15;25,73;-0,30;25,73
1,026286;0,08;25,58;-0,60;25,58
1,036469;-0,08;25,35;-0,68;25,36
1,047397;-0,15;25,58;-0,68;25,58
1,056138;0,00;25,80;-0,45;25,80
1,065950;0,08;25,80;-0,30;25,80
1,076001;0,08;25,80;-0,45;25,80
1,092735;0,23;26,10;-0,53;26,11
1,096050;0,15;26,10;-0,45;26,10
1,105701;0,15;26,10;-0,30;26,10
1,116020;0,08;26,25;-0,23;26,25
1,129213;0,38;26,10;-0,30;26,10
1,137799;0,23;25,88;-0,45;25,88
1,146216;0,00;25,95;-0,45;25,95
1,156410;0,15;26,18;-0,30;26,18
1,166733;0,15;25,80;-0,15;25,80
1,177724;0,08;25,73;0,00;25,73
1,187773;-0,15;25,88;0,00;25,88
1,197310;0,15;25,80;-0,08;25,80
1,206546;-0,15;25,80;0,00;25,80
1,216176;-0,23;25,95;0,08;25,95
1,230266;-0,15;25,80;0,15;25,80
1,245758;-0,30;25,58;0,38;25,58
1,246348;-0,60;25,88;0,15;25,88
1,256025;-0,45;25,95;-0,15;25,95
1,265700;-0,38;25,80;-0,15;25,80
1,276127;-0,53;25,73;-0,15;25,73
1,288125;-0,23;25,65;-0,08;25,65
1,296679;-0,15;25,65;0,00;25,65
1,306041;-0,08;25,95;-0,08;25,95
1,316455;0,08;25,95;-0,45;25,95
1,325897;0,30;25,88;-0,23;25,88
1,336637;0,15;25,95;-0,23;25,95
1,349737;0,30;25,95;-0,23;25,95
1,356248;0,45;25,88;-0,23;25,88
1,365987;0,23;25,80;-0,08;25,80
1,378565;0,15;25,73;-0,23;25,73
1,395388;0,15;25,80;-0,15;25,80
1,396573;0,23;25,88;0,15;25,88
1,406510;0,15;25,95;0,15;25,95
1,415617;0,23;25,80;0,38;25,80
1,425648;0,08;25,95;0,38;25,95
1,436577;0,15;25,95;0,45;25,95
1,445977;0,15;26,03;0,15;26,03
1,459726;0,23;25,88;0,15;25,88
1,465911;0,45;25,65;0,15;25,65
1,476278;0,30;25,65;0,15;25,65
1,491031;0,23;25,58;-0,30;25,58
1,496487;0,23;25,58;-0,30;25,58
1,507375;0,30;25,35;-0,23;25,35
1,515998;0,15;25,35;-0,45;25,35
1,526789;0,15;25,43;-0,08;25,43
1,535861;0,30;25,65;0,15;25,65
1,546218;0,15;25,65;0,00;25,65
1,556427;0,08;25,43;-0,15;25,43
1,569472;-0,15;25,35;0,08;25,35
1,577320;-0,45;25,20;0,15;25,20
1,586315;-0,45;25,28;0,15;25,28
1,596189;-0,45;25,20;0,23;25,21
1,606406;-0,68;25,13;0,08;25,13
1,615947;-0,90;24,98;-0,30;24,99
1,626520;-0,90;24,90;-0,38;24,92
1,644898;-0,83;24,83;-0,30;24,84
1,645747;-0,60;25,13;-0,45;25,14
1,658729;-0,45;25,50;-0,53;25,51
1,665893;-0,45;25,50;-0,75;25,51
1,679187;-0,45;25,35;-0,75;25,37
1,685967;-0,38;25,20;-0,75;25,21
1,696131;-0,15;25,35;-0,53;25,36
1,706059;-0,08;25,43;-0,45;25,43
1,716386;0,08;25,43;-0,23;25,43
1,726446;0,15;25,35;-0,15;25,35
1,736531;0,15;25,35;0,00;25,35
1,746719;0,15;25,35;0,45;25,35
1,757192;0,38;25,65;0,38;25,66
1,766533;0,53;25,88;0,15;25,88
1,776318;0,45;25,95;0,15;25,95
1,790028;0,30;25,95;0,15;25,95
1,795913;0,08;26,25;0,15;26,25
1,805956;0,15;26,25;0,45;26,25
1,818450;0,38;26,25;0,45;26,26
1,827146;0,60;26,33;0,30;26,33
1,837048;0,45;26,40;0,38;26,41
1,846424;0,30;26,33;0,60;26,33
1,856846;0,45;26,55;0,75;26,56
1,866200;0,38;26,40;0,75;26,41
1,876186;0,45;26,25;0,53;26,26
1,886398;0,38;26,25;0,15;26,25
1,901380;0,15;26,10;0,00;26,10
1,905942;-0,15;25,95;-0,15;25,95
1,916066;-0,15;25,73;-0,15;25,73
1,926078;-0,23;25,73;-0,45;25,73
1,937987;-0,15;25,50;-0,38;25,50
1,945954;-0,15;25,58;-0,53;25,58
1,956770;-0,15;25,65;-0,38;25,65
1,968387;-0,08;25,80;-0,38;25,80
1,976430;-0,08;25,80;-0,38;25,80
1,985838;0,15;25,95;-0,45;25,95
1,996266;0,15;26,10;-0,15;26,10
2,008858;0,15;26,10;-0,08;26,10
2,017289;0,15;26,03;-0,08;26,03
2,026031;0,15;25,95;-0,08;25,95
2,036580;0,00;25,80;0,00;25,80
2,045832;-0,30;25,43;0,15;25,43
2,058268;-0,45;25,50;0,30;25,51
2,074489;-0,60;25,35;0,45;25,36
2,075860;-0,75;25,43;0,38;25,44
2,085974;-0,75;25,58;0,23;25,59
2,095917;-0,75;25,80;0,08;25,81
2,105929;-0,68;25,88;0,08;25,88
2,119492;-0,45;25,95;0,00;25,95
2,125671;-0,23;26,18;-0,15;26,18
2,136031;-0,15;26,18;-0,45;26,18
2,145961;-0,08;26,33;-0,38;26,33
2,156053;-0,15;26,03;-0,45;26,03
2,168015;-0,30;25,80;-0,38;25,80
2,176029;-0,53;25,65;-0,30;25,66
2,187434;-0,53;25,58;-0,30;25,58
2,196302;-0,75;25,43;-0,30;25,44
2,208239;-0,75;25,35;-0,30;25,36
2,219497;-0,98;25,35;-0,15;25,37
2,229157;-0,75;25,35;-0,15;25,36
2,236029;-0,60;25,58;-0,08;25,58
2,245697;-0,38;25,73;0,23;25,73
2,256392;-0,15;25,88;0,45;25,88
2,266428;-0,23;26,03;0,68;26,03
2,276209;0,00;25,95;0,60;25,96
2,285984;0,00;26,18;0,60;26,18
2,295937;0,30;26,18;0,60;26,18
2,306428;0,30;26,25;0,45;26,26
2,317164;0,15;26,40;0,45;26,40
2,325751;0,00;26,25;0,15;26,25
2,339893;0,00;26,48;0,15;26,48
2,346214;0,15;26,40;0,15;26,40
2,356743;0,30;26,70;0,15;26,70
2,367165;0,23;26,55;0,45;26,55
2,376216;0,08;26,33;0,38;26,33
2,386055;-0,15;26,10;0,45;26,10
2,395821;-0,23;25,88;0,60;25,88
2,405859;-0,38;25,80;0,60;25,81
2,415816;-0,15;25,65;0,68;25,66
2,425621;-0,15;25,65;0,83;25,66
2,435841;-0,45;25,35;0,83;25,37
2,449357;-0,53;25,50;0,60;25,51
2,456141;-0,38;25,73;0,45;25,73
2,474412;-0,38;25,73;0,60;25,73
2,475844;-0,30;25,65;0,45;25,66
2,487259;-0,15;25,65;0,45;25,65
2,498329;-0,38;25,65;0,08;25,65
2,505942;-0,45;25,73;-0,30;25,73
2,516865;-0,30;26,18;-0,15;26,18
2,525880;-0,45;26,18;-0,15;26,18
2,536197;-0,60;26,18;-0,15;26,18
2,545916;-0,75;26,10;-0,45;26,11
2,559947;-0,68;26,10;-0,53;26,11
2,565909;-0,53;26,25;-0,53;26,26
2,576330;-0,30;26,25;-0,60;26,26
2,586538;-0,45;26,10;-0,53;26,11
2,598634;-0,30;25,65;-0,60;25,66
2,606517;-0,23;25,58;-0,53;25,58
2,616635;-0,08;25,65;-0,38;25,65
2,626409;0,30;25,80;-0,08;25,80
2,641530;0,23;25,95;-0,08;25,95
2,656661;0,30;25,80;0,15;25,80
2,657688;0,23;25,88;0,15;25,88
2,668916;0,30;26,03;0,38;26,03
2,675922;0,15;26,25;0,53;26,26
2,686279;0,15;26,25;0,60;26,26
2,698229;0,00;26,10;0,45;26,10
2,705942;-0,23;25,80;0,30;25,80
2,716252;0,00;25,65;0,23;25,65
2,726122;-0,15;25,80;0,00;25,80
2,736159;-0,15;25,73;0,15;25,73
2,758676;-0,30;25,50;0,00;25,50
2,759624;-0,45;25,35;-0,15;25,35
2,774932;-0,45;25,43;-0,15;25,43
2,784875;-0,23;25,50;-0,15;25,50
2,785983;-0,23;25,50;0,00;25,50
2,796872;-0,53;25,58;-0,15;25,58
