time;Bx;By;Bz;BT
0,002696;-0,15;65,48;0,15;65,48
0,009156;0,08;65,55;0,15;65,55
0,016853;-0,23;65,25;0,15;65,25
0,026904;-0,08;65,18;0,15;65,18
0,036834;-0,23;64,95;0,23;64,95
0,046913;-0,38;65,25;0,23;65,25
0,056855;-0,60;65,03;0,15;65,03
0,067730;-0,68;64,95;0,08;64,95
0,076863;-0,90;64,95;0,15;64,96
0,086892;-1,12;64,88;0,23;64,89
0,099938;-1,12;64,80;0,15;64,81
0,107115;-1,20;64,88;0,23;64,89
0,116860;-1,05;65,25;0,23;65,26
0,128767;-1,05;65,03;0,45;65,04
0,136967;-0,98;65,25;0,45;65,26
0,148253;-0,83;65,25;0,68;65,26
0,157071;-0,83;65,25;0,75;65,26
0,167604;-0,45;65,40;0,60;65,40
0,178358;-0,30;65,62;0,75;65,63
0,187144;-0,23;65,55;0,75;65,55
0,202851;-0,30;65,25;0,45;65,25
0,207002;-0,08;65,40;0,45;65,40
0,216919;-0,15;65,33;0,53;65,33
0,227239;0,08;65,25;0,38;65,25
0,236883;0,30;65,48;0,15;65,48
0,247452;-0,15;65,33;0,15;65,33
0,257713;-0,08;65,25;0,15;65,25
0,266950;0,08;65,25;0,00;65,25
0,277663;-0,08;65,25;0,38;65,25
0,289938;-0,15;65,25;0,38;65,25
0,304983;0,15;65,48;0,15;65,48
0,317284;0,00;65,55;0,08;65,55
0,317989;-0,15;65,55;-0,30;65,55
0,327405;0,00;65,78;-0,30;65,78
0,337602;-0,08;65,78;-0,45;65,78
0,347313;-0,15;65,85;-0,30;65,85
0,357227;-0,08;65,85;-0,23;65,85
0,366960;-0,08;65,78;-0,45;65,78
0,377139;-0,45;65,48;-0,45;65,48
0,387032;-0,30;65,55;-0,23;65,55
0,397800;-0,15;65,40;0,23;65,40
0,407111;-0,15;65,25;0,45;65,25
0,417280;-0,15;65,25;0,38;65,25
0,427149;-0,15;65,33;0,38;65,33
0,437486;-0,08;65,25;0,38;65,25
0,447448;-0,15;65,40;0,23;65,40
0,457308;-0,15;65,48;0,38;65,48
0,467356;-0,23;65,48;0,23;65,48
0,478518;-0,53;65,40;-0,15;65,40
0,499974;-0,53;65,40;-0,15;65,40
0,500770;-0,45;65,48;0,15;65,48
0,510579;-0,45;65,25;0,23;65,25
0,517054;-0,53;65,25;0,15;65,25
0,527234;-0,60;65,03;0,45;65,03
0,538595;-0,60;64,88;0,45;64,88
0,547522;-0,53;64,88;0,68;64,88
0,557341;-0,30;64,65;0,68;64,65
0,567051;-0,30;64,80;0,45;64,80
0,577388;-0,45;64,88;0,08;64,88
0,593942;-0,60;64,65;-0,15;64,65
0,597890;-0,75;64,88;-0,15;64,88
0,607353;-0,60;65,03;-0,45;65,03
0,618160;-0,53;65,18;-0,45;65,18
0,627086;-0,53;65,10;-0,60;65,10
0,637924;-0,60;65,33;-0,38;65,33
0,647336;-0,68;65,18;-0,15;65,18
0,657236;-0,53;65,03;0,08;65,03
0,667221;-0,45;65,10;0,15;65,10
0,677745;-0,30;65,03;0,15;65,03
0,693272;-0,30;64,95;0,23;64,95
