,distância (m),intensidade do campo magnético inferior na volta (μT),uy_lin,uB_lin,B_lin
7,0.145,5.079999999999998,0.006896551724137932,0.00393700787401575,0.7058637122839191
0,0.155,4.780000000000001,0.0064516129032258064,0.004184100418410041,0.679427896612119
3,0.165,4.329999999999998,0.006060606060606061,0.004618937644341803,0.6364878963533652
5,0.175,4.25,0.005714285714285715,0.004705882352941177,0.6283889300503115
9,0.185,3.9499999999999993,0.005405405405405406,0.005063291139240507,0.5965970956264601
8,0.195,3.879999999999999,0.005128205128205128,0.005154639175257734,0.5888317255942072
1,0.205,4.25,0.004878048780487805,0.004705882352941177,0.6283889300503115
6,0.215,3.6499999999999986,0.004651162790697674,0.005479452054794523,0.5622928644564745
2,0.225,4.399999999999999,0.0044444444444444444,0.004545454545454547,0.6434526764861873
10,0.235,3.6499999999999986,0.00425531914893617,0.005479452054794523,0.5622928644564745
4,0.245,3.0500000000000007,0.004081632653061225,0.006557377049180326,0.4842998393467859
