Time (s),Sound pressure level (dB)
6.208123748E0,1.027343167E2
6.407524217E0,1.005787308E2
6.614436196E0,1.000305950E2
6.807461821E0,9.973758133E1
7.027771768E0,9.840521149E1
7.217705623E0,9.703582284E1
7.406407550E0,9.643068552E1
7.610451925E0,9.474489738E1
7.809371508E0,9.216165824E1
8.000897081E0,9.164735833E1
8.208700987E0,9.217601553E1
8.405284580E0,8.953455790E1
8.596370622E0,8.855840307E1
8.813944424E0,8.882497907E1
9.002910049E0,9.058381169E1
9.206778643E0,8.925980625E1
9.405239007E0,8.796413673E1
9.602822497E0,8.694315368E1
9.801892965E0,8.458002113E1
1.001570015E1,8.360117093E1
1.021156036E1,8.239531242E1
1.040286630E1,8.300433905E1
1.061453817E1,8.114036020E1
1.080023328E1,8.064307522E1
1.100279994E1,7.877845615E1
1.120346161E1,7.484857288E1
1.142207796E1,7.494191195E1
1.160238739E1,7.149960133E1
1.181575067E1,6.842306950E1
1.201385567E1,6.539997467E1
1.221410510E1,6.410289461E1
1.240281968E1,6.262940335E1
1.260408645E1,6.255083493E1
1.280703468E1,6.115204655E1
1.301381692E1,5.980093820E1
