"Time (s)","Sound pressure level (dB)"
0.000000000E0,5.813784789E1
1.920512500E-1,5.342353054E1
3.959457810E-1,5.796134245E1
5.968943750E-1,8.220783915E1
7.820777600E-1,6.489989933E1
9.945483850E-1,7.151304371E1
1.197502968E0,7.308843523E1
1.406303437E0,7.086456625E1
1.585562291E0,7.076562980E1
1.782848228E0,7.209859446E1
1.995640155E0,7.315674408E1
2.192054947E0,6.670761750E1
2.394545155E0,7.153129628E1
2.595916249E0,6.785907972E1
2.795703124E0,6.566370887E1
3.002864113E0,6.675044304E1
3.194115468E0,6.252320564E1
3.396011665E0,6.245621217E1
3.597651197E0,6.036721231E1
3.795558384E0,6.296937573E1
3.996994894E0,6.373847524E1
4.196714061E0,6.291640071E1
4.396699686E0,6.473069495E1
4.577817811E0,6.546844627E1
4.781823592E0,6.292202083E1
4.994224373E0,5.845496146E1
5.203305883E0,6.237304401E1
5.382903956E0,6.036553967E1
5.596246456E0,6.335663263E1
5.783590206E0,5.913578587E1
5.990106144E0,6.271527325E1
6.184744268E0,6.356976214E1
6.395356925E0,6.139855924E1
6.584757914E0,9.469694997E1
6.792018539E0,1.016169227E2
6.984720362E0,1.008121821E2
7.187334737E0,1.008660163E2
7.396704789E0,1.004111130E2
7.588938330E0,9.891434506E1
7.794763330E0,9.866975727E1
7.983433434E0,9.795125391E1
8.193392861E0,9.622693609E1
8.396952757E0,9.576498216E1
8.595334215E0,9.633111033E1
8.782595882E0,9.622425203E1
8.996293017E0,9.580489447E1
9.196825049E0,9.457633632E1
9.384315205E0,9.409141236E1
9.594519476E0,9.443901784E1
9.794766194E0,9.377436814E1
9.996125934E0,9.299481950E1
1.018301265E1,9.291303639E1
1.039725515E1,9.274927945E1
1.060081104E1,9.272484255E1
1.078114067E1,9.126348623E1
1.099398307E1,9.186236807E1
1.118948953E1,9.196531101E1
1.139025776E1,9.213153284E1
1.159180224E1,9.158294919E1
1.179453573E1,9.179761008E1
1.198649073E1,9.101063669E1
1.219372750E1,9.161658662E1
1.239649604E1,9.134403380E1
1.259466291E1,9.107586547E1
1.278387817E1,8.962185258E1
1.298224208E1,8.911092995E1
1.318522734E1,8.948116855E1
1.339302359E1,8.749210445E1
1.359748729E1,8.828477391E1
1.377910150E1,8.781384477E1
1.399542854E1,8.528330863E1
1.418459026E1,8.363819531E1
1.438943578E1,8.522046962E1
1.458305494E1,8.586861790E1
1.479580588E1,8.329122398E1
1.498382979E1,8.397502591E1
1.519925057E1,8.388999904E1
1.538214135E1,8.425896668E1
1.559556817E1,8.274316454E1
1.579485411E1,8.195409189E1
1.600011192E1,8.243251576E1
1.618290557E1,7.924021868E1
1.638482093E1,7.949619311E1
1.659563307E1,7.893060775E1
1.679821385E1,7.724548627E1
1.698178234E1,7.543476924E1
1.719664671E1,7.642905786E1
1.738568958E1,7.435312466E1
1.760084760E1,7.285082807E1
1.779360963E1,7.091664182E1
1.799542468E1,7.218265402E1
1.818889036E1,6.960839868E1
1.838234098E1,6.919833844E1
1.858617916E1,6.751954694E1
1.878869822E1,6.707217757E1
1.900190869E1,6.478495086E1
1.918842020E1,6.509078059E1
1.939511973E1,6.459094541E1
1.959654286E1,6.223034485E1
1.979327265E1,6.503758973E1
1.998824515E1,6.834165492E1
2.019619077E1,6.653688337E1
2.039591984E1,6.307384132E1
2.059192853E1,6.083830554E1
2.079720843E1,6.592687570E1
2.099634708E1,6.818654081E1
2.119596228E1,6.379672786E1
2.139345275E1,6.729507939E1
2.159656244E1,6.685075575E1
2.178358598E1,6.754006891E1
2.199548020E1,6.428256104E1
2.220556556E1,6.377250083E1
2.238823661E1,6.464312745E1
2.259547978E1,6.103362215E1
2.279668629E1,5.925403007E1
2.299627687E1,5.732746644E1
2.318287765E1,5.959058352E1
2.339488895E1,5.857227755E1
2.359436853E1,6.139282793E1
2.380494504E1,6.055509849E1
2.398394530E1,5.873248268E1
2.419581072E1,5.911681773E1
2.439591942E1,6.177389597E1
2.460001348E1,6.055903816E1
2.478306171E1,6.193441322E1
2.498301249E1,6.266090582E1
2.518541317E1,5.774680619E1
2.539173603E1,6.015315615E1
2.558611468E1,6.026139773E1
2.579334286E1,5.840488330E1
2.599387525E1,5.984597466E1
2.618184718E1,5.806705245E1
2.638755364E1,5.691982452E1
2.658964468E1,5.611654261E1
2.678818452E1,5.550611713E1
2.698208244E1,5.822151475E1
2.718376218E1,5.671818070E1
2.738301072E1,5.617357032E1
2.758421556E1,5.967644612E1
2.778366088E1,5.620027997E1
2.799667749E1,5.691826062E1
2.818330764E1,5.692435053E1
2.838393572E1,5.710194472E1
2.859497916E1,5.811388673E1
2.879629181E1,5.908763903E1
2.898375051E1,5.654457656E1
2.918227228E1,5.861442983E1
2.939631478E1,5.692689251E1
2.959622015E1,5.559352374E1
2.980036858E1,5.714555113E1
2.998474546E1,5.982900369E1
3.002693040E1,5.982900369E1
